sRNA	mRNA	Score	Class	OrdinalRank	Program
dsra	tdk	0.70207	0	69	sRNARFTarget
omra	yaep	0.70157	0	70	sRNARFTarget
omra	btss	0.70149	0	71	sRNARFTarget
omra	gntp	0.70139	0	72	sRNARFTarget
spf	caia	0.70121	0	73	sRNARFTarget
omra	btub	0.70095	0	74	sRNARFTarget
oxys	yeac	0.70056	0	75	sRNARFTarget
omra	pdxi	0.7005	0	76	sRNARFTarget
omra	pnta	0.70016	0	77	sRNARFTarget
omra	gss	0.69985	0	78	sRNARFTarget
cyar	hded	0.69976	0	79	sRNARFTarget
omra	ydht	0.6997	0	80	sRNARFTarget
omra	ybhj	0.69927	0	81	sRNARFTarget
omra	pane	0.69917	0	82	sRNARFTarget
omra	hyua	0.69911	0	83	sRNARFTarget
omra	yhfx	0.699	0	84	sRNARFTarget
omra	arag	0.69886	0	85	sRNARFTarget
omra	dhar	0.69853	0	86	sRNARFTarget
spf	ybio	0.69719	0	87	sRNARFTarget
omra	paah	0.69707	0	88	sRNARFTarget
omra	hism	0.69671	0	89	sRNARFTarget
omra	yafv	0.69621	0	90	sRNARFTarget
omra	yejf	0.69581	0	91	sRNARFTarget
omra	yfhm	0.69578	0	92	sRNARFTarget
mica	mgts	0.69577	0	93	sRNARFTarget
omra	xylh	0.69548	0	94	sRNARFTarget
omra	umuc	0.69492	0	95	sRNARFTarget
omra	aslb	0.69469	0	96	sRNARFTarget
omra	ykgf	0.69466	0	97	sRNARFTarget
omra	aaeb	0.69462	0	98	sRNARFTarget
rydc	csgd	0.69451	0	99	sRNARFTarget
omra	pdxy	0.69445	0	100	sRNARFTarget
omra	yfce	0.69444	0	101	sRNARFTarget
gcvb	thrl	0.69427	0	102	sRNARFTarget
omra	thim	0.69421	0	103	sRNARFTarget
omra	xerd	0.6942	0	104	sRNARFTarget
omra	lysa	0.69412	0	105	sRNARFTarget
omra	modc	0.69323	0	106	sRNARFTarget
omra	glne	0.69303	0	107	sRNARFTarget
spf	modc	0.69302	0	108	sRNARFTarget
omra	atob	0.69286	0	109	sRNARFTarget
dsra	rcsa	0.69283	0	110	sRNARFTarget
oxys	yfdh	0.69275	0	111	sRNARFTarget
omra	yadl	0.69244	0	112	sRNARFTarget
dsra	pgab	0.69243	0	113	sRNARFTarget
omra	appc	0.69241	0	114	sRNARFTarget
spf	maly	0.69228	0	115	sRNARFTarget
omra	pitb	0.6922	0	116	sRNARFTarget
dsra	mreb	0.69199	0	117	sRNARFTarget
omra	yhin	0.69197	0	118	sRNARFTarget
omra	mhpf	0.69194	0	119	sRNARFTarget
omra	phor	0.69141	0	120	sRNARFTarget
micc	hns	0.69118	0	121	sRNARFTarget
omra	ypfh	0.69117	0	122	sRNARFTarget
omra	ygho	0.69101	0	123	sRNARFTarget
rybb	metq	0.69096	0	124	sRNARFTarget
omrb	trxc	0.69076	0	125	sRNARFTarget
omra	gsk	0.69071	0	126	sRNARFTarget
omra	mena	0.69065	0	127	sRNARFTarget
omra	arna	0.6904	0	128	sRNARFTarget
omra	caia	0.69015	0	129	sRNARFTarget
omra	zras	0.6896	0	130	sRNARFTarget
spf	recc	0.68948	0	131	sRNARFTarget
dsra	argr	0.68937	0	132	sRNARFTarget
omra	gpp	0.6893	0	133	sRNARFTarget
omra	stha	0.68916	0	134	sRNARFTarget
omra	cyse	0.68906	0	135	sRNARFTarget
omra	pxpc	0.68872	0	136	sRNARFTarget
spf	acek	0.68869	0	137	sRNARFTarget
spf	wece	0.68861	0	138	sRNARFTarget
omra	zntb	0.6886	0	139	sRNARFTarget
omra	tora	0.68832	0	140	sRNARFTarget
omra	fabh	0.68809	0	141	sRNARFTarget
omra	mlc	0.68798	0	142	sRNARFTarget
omra	ptsp	0.6879	0	143	sRNARFTarget
omra	ygbi	0.68781	0	144	sRNARFTarget
omra	aldb	0.68778	0	145	sRNARFTarget
rybb	ompt	0.68774	0	146	sRNARFTarget
omrb	yphd	0.68767	0	147	sRNARFTarget
omra	ydhf	0.68756	0	148	sRNARFTarget
omra	trpc	0.68741	0	149	sRNARFTarget
oxys	yobf	0.68729	0	150	sRNARFTarget
omra	yggp	0.6872	0	151	sRNARFTarget
omra	pphc	0.68716	0	152	sRNARFTarget
omra	cof	0.68704	0	153	sRNARFTarget
spf	hisb	0.68702	0	154	sRNARFTarget
spf	glpf	0.687	0	155	sRNARFTarget
omra	mure	0.68685	0	156	sRNARFTarget
rybb	lpp	0.68683	0	157	sRNARFTarget
omra	yggw	0.68676	0	158	sRNARFTarget
omra	pdek	0.68673	0	159	sRNARFTarget
omra	deor	0.68616	0	160	sRNARFTarget
ryhb	ftna	0.68613	0	161	sRNARFTarget
omra	fabf	0.6861	0	162	sRNARFTarget
omra	kefb	0.68609	0	163	sRNARFTarget
omra	gsid	0.68603	0	164	sRNARFTarget
omrb	yhdn	0.68591	0	165	sRNARFTarget
omra	kup	0.68587	0	166	sRNARFTarget
omra	glda	0.68583	0	167	sRNARFTarget
omra	yhet	0.68559	0	168	sRNARFTarget
omra	ycho	0.68553	0	169	sRNARFTarget
spf	aspc	0.68553	0	170	sRNARFTarget
omra	xapa	0.68546	0	171	sRNARFTarget
omra	mpl	0.68504	0	172	sRNARFTarget
omra	ddpc	0.68498	0	173	sRNARFTarget
omra	yaaw	0.68495	0	174	sRNARFTarget
omra	gatz	0.68489	0	175	sRNARFTarget
oxys	gfcb	0.68479	0	176	sRNARFTarget
omra	torr	0.68466	0	177	sRNARFTarget
omra	aer	0.68439	0	178	sRNARFTarget
omra	feab	0.68435	0	179	sRNARFTarget
spf	ycao	0.68422	0	180	sRNARFTarget
omra	yjju	0.68419	0	181	sRNARFTarget
omra	rsme	0.68409	0	182	sRNARFTarget
omra	lgod	0.68404	0	183	sRNARFTarget
omrb	yeee	0.68392	0	184	sRNARFTarget
spf	yjbh	0.68381	0	185	sRNARFTarget
spf	metf	0.68375	0	186	sRNARFTarget
spf	ulag	0.6837	0	187	sRNARFTarget
omra	ompa	0.68361	0	188	sRNARFTarget
omra	gark	0.68357	0	189	sRNARFTarget
omra	argk	0.68346	0	190	sRNARFTarget
omra	dgcq	0.68334	0	191	sRNARFTarget
omra	aroa	0.68328	0	192	sRNARFTarget
spf	yphg	0.6832	0	193	sRNARFTarget
omra	iclr	0.68315	0	194	sRNARFTarget
rybb	rpos	0.68315	0	195	sRNARFTarget
omra	ypdf	0.68309	0	196	sRNARFTarget
omra	glca	0.68307	0	197	sRNARFTarget
omra	ligb	0.68302	0	198	sRNARFTarget
omra	ssub	0.68296	0	199	sRNARFTarget
omra	dcud	0.68274	0	200	sRNARFTarget
spf	malq	0.68272	0	201	sRNARFTarget
omra	yegi	0.68267	0	202	sRNARFTarget
omra	garr	0.68262	0	203	sRNARFTarget
spf	trps	0.68252	0	204	sRNARFTarget
omra	fecd	0.68249	0	205	sRNARFTarget
omra	narx	0.68245	0	206	sRNARFTarget
spf	galk	0.68243	1	207	sRNARFTarget
omra	hiss	0.68237	0	208	sRNARFTarget
dsra	pdef	0.68223	0	209	sRNARFTarget
omra	gals	0.6822	0	210	sRNARFTarget
omra	mali	0.68213	0	211	sRNARFTarget
omra	malq	0.68177	0	212	sRNARFTarget
omra	cutc	0.68161	0	213	sRNARFTarget
omra	dcp	0.68146	0	214	sRNARFTarget
omra	narh	0.6814	0	215	sRNARFTarget
omra	glcg	0.68132	0	216	sRNARFTarget
omra	rrrd	0.68131	0	217	sRNARFTarget
spf	yeie	0.68131	0	218	sRNARFTarget
spf	fes	0.6813	0	219	sRNARFTarget
omra	tyrr	0.68129	0	220	sRNARFTarget
omra	yegs	0.68126	0	221	sRNARFTarget
omra	crec	0.68109	0	222	sRNARFTarget
omra	bisc	0.68108	0	223	sRNARFTarget
omra	yeiq	0.68093	0	224	sRNARFTarget
omra	pppa	0.68076	0	225	sRNARFTarget
spf	ebga	0.68064	0	226	sRNARFTarget
omra	cysn	0.68051	0	227	sRNARFTarget
omra	rela	0.68051	0	228	sRNARFTarget
omra	mnmc	0.68046	0	229	sRNARFTarget
omra	mipa	0.68043	0	230	sRNARFTarget
spf	patz	0.68038	0	231	sRNARFTarget
spf	nana	0.68035	0	232	sRNARFTarget
omra	dusa	0.68019	0	233	sRNARFTarget
spf	adhe	0.68014	0	234	sRNARFTarget
omra	recc	0.68006	0	235	sRNARFTarget
rybb	yfek	0.68002	0	236	sRNARFTarget
omra	ilvi	0.67997	0	237	sRNARFTarget
spf	yggw	0.67993	0	238	sRNARFTarget
dsra	ilvh	0.67988	0	239	sRNARFTarget
omra	cysg	0.6798	0	240	sRNARFTarget
omra	yhfs	0.67966	0	241	sRNARFTarget
rybb	yhjj	0.67966	0	242	sRNARFTarget
rybb	ompn	0.67951	0	243	sRNARFTarget
rybb	rbsk	0.67946	0	244	sRNARFTarget
omra	cmom	0.67943	0	245	sRNARFTarget
spf	dgce	0.67941	0	246	sRNARFTarget
oxys	flhd	0.67932	0	247	sRNARFTarget
omra	ydco	0.6793	0	248	sRNARFTarget
spf	glms	0.67928	0	249	sRNARFTarget
omra	trka	0.67893	0	250	sRNARFTarget
omra	ynfh	0.6789	0	251	sRNARFTarget
spf	epmb	0.6789	0	252	sRNARFTarget
omra	mdlb	0.67888	0	253	sRNARFTarget
omra	yhdp	0.67879	0	254	sRNARFTarget
spf	yejb	0.67873	0	255	sRNARFTarget
omra	uida	0.67871	0	256	sRNARFTarget
omra	sufs	0.67867	0	257	sRNARFTarget
spf	arnc	0.67867	0	258	sRNARFTarget
omra	ycjg	0.67862	0	259	sRNARFTarget
spf	mdtf	0.67857	0	260	sRNARFTarget
spf	alac	0.67848	0	261	sRNARFTarget
omra	dtpc	0.67843	0	262	sRNARFTarget
omra	trua	0.67839	0	263	sRNARFTarget
dsra	ygfi	0.67831	0	264	sRNARFTarget
spf	gsta	0.67826	0	265	sRNARFTarget
omra	ycem	0.67818	0	266	sRNARFTarget
omra	yhjj	0.6781	0	267	sRNARFTarget
omra	umph	0.67803	0	268	sRNARFTarget
omra	paaj	0.67798	0	269	sRNARFTarget
omra	cdsa	0.67794	0	270	sRNARFTarget
spf	glpd	0.67783	0	271	sRNARFTarget
omra	fuco	0.67774	0	272	sRNARFTarget
omra	dapa	0.67772	0	273	sRNARFTarget
omra	cydc	0.67771	0	274	sRNARFTarget
omra	rcsc	0.67763	0	275	sRNARFTarget
spf	frdb	0.6776	0	276	sRNARFTarget
spf	hemn	0.67758	0	277	sRNARFTarget
mica	ecnb	0.67748	0	278	sRNARFTarget
omra	folc	0.67747	0	279	sRNARFTarget
omra	caic	0.6773	0	280	sRNARFTarget
omra	moba	0.67719	0	281	sRNARFTarget
omra	fadi	0.67706	0	282	sRNARFTarget
omra	hcxa	0.67697	0	283	sRNARFTarget
spf	glmm	0.67687	0	284	sRNARFTarget
spf	gltx	0.67687	0	285	sRNARFTarget
omra	ydhq	0.67685	0	286	sRNARFTarget
spf	lepa	0.67675	0	287	sRNARFTarget
omra	dbpa	0.67652	0	288	sRNARFTarget
chix	rpos	0.67643	0	289	sRNARFTarget
omra	lole	0.67641	0	290	sRNARFTarget
spf	yhcc	0.67639	0	291	sRNARFTarget
omra	lsrr	0.6762	0	292	sRNARFTarget
omrb	rpos	0.67616	0	293	sRNARFTarget
omra	yphh	0.67609	0	294	sRNARFTarget
omra	yehp	0.67602	0	295	sRNARFTarget
omra	malz	0.67601	0	296	sRNARFTarget
omra	uxaa	0.67599	0	297	sRNARFTarget
spf	frsa	0.67599	0	298	sRNARFTarget
omra	phet	0.67596	0	299	sRNARFTarget
omrb	acrz	0.67584	0	300	sRNARFTarget
omra	hyfr	0.67583	0	301	sRNARFTarget
spf	potg	0.67574	0	302	sRNARFTarget
omra	tyrb	0.6757	0	303	sRNARFTarget
omra	yggr	0.6757	0	304	sRNARFTarget
spf	allb	0.67557	0	305	sRNARFTarget
spf	gor	0.67557	0	306	sRNARFTarget
spf	yehp	0.67536	0	307	sRNARFTarget
omra	mela	0.67532	0	308	sRNARFTarget
dsra	riml	0.67528	0	309	sRNARFTarget
spf	trka	0.67521	0	310	sRNARFTarget
omra	yhht	0.6751	0	311	sRNARFTarget
omra	yhdy	0.67505	0	312	sRNARFTarget
omrb	fimf	0.67503	0	313	sRNARFTarget
omra	fadj	0.675	0	314	sRNARFTarget
spf	purb	0.67494	0	315	sRNARFTarget
omra	laci	0.67492	0	316	sRNARFTarget
omra	alda	0.67485	0	317	sRNARFTarget
oxys	ycce	0.67485	0	318	sRNARFTarget
omra	yjjj	0.67477	0	319	sRNARFTarget
omra	glpd	0.67468	0	320	sRNARFTarget
spf	pabb	0.67454	0	321	sRNARFTarget
omra	cvra	0.67452	0	322	sRNARFTarget
omra	kdud	0.67434	0	323	sRNARFTarget
dsra	frc	0.67429	0	324	sRNARFTarget
spf	guad	0.67429	0	325	sRNARFTarget
omra	hcad	0.67415	0	326	sRNARFTarget
omra	malp	0.67405	0	327	sRNARFTarget
omra	yfau	0.67393	0	328	sRNARFTarget
omra	yiav	0.67386	0	329	sRNARFTarget
omrb	osmb	0.67386	0	330	sRNARFTarget
omra	ubif	0.67366	0	331	sRNARFTarget
omra	arnt	0.67365	0	332	sRNARFTarget
omra	ygbn	0.67363	0	333	sRNARFTarget
omra	yfal	0.67353	0	334	sRNARFTarget
omra	paac	0.6735	0	335	sRNARFTarget
omra	ydiu	0.67348	0	336	sRNARFTarget
omra	dgcc	0.67345	0	337	sRNARFTarget
omra	rbsk	0.67332	0	338	sRNARFTarget
spf	pspg	0.67329	0	339	sRNARFTarget
dsra	yciy	0.67326	0	340	sRNARFTarget
omra	ddpd	0.67326	0	341	sRNARFTarget
dsra	pgaa	0.67324	0	342	sRNARFTarget
spf	glns	0.67323	0	343	sRNARFTarget
spf	ycgb	0.67309	0	344	sRNARFTarget
ryhb	cysu	0.67308	0	345	sRNARFTarget
omra	rhtb	0.67287	0	346	sRNARFTarget
omra	folm	0.67286	0	347	sRNARFTarget
omra	ycbz	0.67285	0	348	sRNARFTarget
spf	umph	0.67282	0	349	sRNARFTarget
spf	yejf	0.67278	0	350	sRNARFTarget
omra	ydij	0.67276	0	351	sRNARFTarget
omra	hscc	0.67263	0	352	sRNARFTarget
omra	dape	0.67261	0	353	sRNARFTarget
spf	kdsa	0.67258	0	354	sRNARFTarget
omra	yhcc	0.67253	0	355	sRNARFTarget
spf	deor	0.67248	0	356	sRNARFTarget
omra	norw	0.67243	0	357	sRNARFTarget
omra	cusc	0.67241	0	358	sRNARFTarget
spf	hcae	0.67238	0	359	sRNARFTarget
omrb	srlb	0.67235	0	360	sRNARFTarget
spf	spec	0.67231	0	361	sRNARFTarget
dsra	pdec	0.6723	0	362	sRNARFTarget
omra	tar	0.67227	0	363	sRNARFTarget
dsra	insk	0.67226	0	364	sRNARFTarget
omra	glpg	0.67223	0	365	sRNARFTarget
omra	sufb	0.67213	0	366	sRNARFTarget
omra	riha	0.67211	0	367	sRNARFTarget
omra	mscm	0.67209	0	368	sRNARFTarget
omra	rssa	0.67206	0	369	sRNARFTarget
omra	ydea	0.67198	0	370	sRNARFTarget
omra	thik	0.67189	0	371	sRNARFTarget
spf	lapb	0.67187	0	372	sRNARFTarget
omra	clca	0.67186	0	373	sRNARFTarget
omra	dpib	0.67184	0	374	sRNARFTarget
omra	yade	0.67181	0	375	sRNARFTarget
omra	ygjr	0.67174	0	376	sRNARFTarget
omrb	glmm	0.67165	0	377	sRNARFTarget
omra	yqeb	0.67159	0	378	sRNARFTarget
spf	pitb	0.67152	0	379	sRNARFTarget
omra	ycaq	0.67149	0	380	sRNARFTarget
spf	ptrb	0.67147	0	381	sRNARFTarget
spf	wcaj	0.67145	0	382	sRNARFTarget
spf	flha	0.67124	0	383	sRNARFTarget
spf	hyac	0.67114	0	384	sRNARFTarget
spf	asnb	0.67112	0	385	sRNARFTarget
spf	yfcf	0.67112	0	386	sRNARFTarget
omra	teha	0.67105	0	387	sRNARFTarget
spf	rard	0.67099	0	388	sRNARFTarget
omra	yide	0.67097	0	389	sRNARFTarget
spf	recb	0.67094	0	390	sRNARFTarget
spf	ycjn	0.67093	0	391	sRNARFTarget
omrb	folp	0.67091	0	392	sRNARFTarget
dsra	ygcw	0.67081	0	393	sRNARFTarget
spf	mhpa	0.67078	0	394	sRNARFTarget
rybb	ompf	0.67068	0	395	sRNARFTarget
omra	gsha	0.67065	0	396	sRNARFTarget
dsra	yjjq	0.67047	0	397	sRNARFTarget
omra	ubii	0.67043	0	398	sRNARFTarget
spf	atod	0.6703	0	399	sRNARFTarget
spf	bcsb	0.6703	0	400	sRNARFTarget
dsra	pdeg	0.67027	0	401	sRNARFTarget
dsra	waab	0.67022	0	402	sRNARFTarget
spf	aas	0.6702	0	403	sRNARFTarget
spf	mela	0.67017	0	404	sRNARFTarget
omra	anmk	0.67014	0	405	sRNARFTarget
spf	rlha	0.67012	0	406	sRNARFTarget
mica	gloa	0.67007	0	407	sRNARFTarget
omra	amya	0.66996	0	408	sRNARFTarget
omra	ydhp	0.66991	0	409	sRNARFTarget
omra	usha	0.66988	0	410	sRNARFTarget
spf	pita	0.66987	0	411	sRNARFTarget
spf	asd	0.66985	0	412	sRNARFTarget
omra	puud	0.66983	0	413	sRNARFTarget
omra	csir	0.66979	0	414	sRNARFTarget
omra	yfav	0.66966	0	415	sRNARFTarget
spf	prfa	0.66953	0	416	sRNARFTarget
omra	pspf	0.66951	0	417	sRNARFTarget
spf	idnt	0.66951	0	418	sRNARFTarget
omra	selu	0.66944	0	419	sRNARFTarget
omrb	ycad	0.66943	0	420	sRNARFTarget
arcz	flhd	0.66938	0	421	sRNARFTarget
spf	yhjd	0.66936	0	422	sRNARFTarget
omra	cyup	0.66927	0	423	sRNARFTarget
omra	astc	0.66926	0	424	sRNARFTarget
spf	trkh	0.66922	0	425	sRNARFTarget
spf	tora	0.66912	0	426	sRNARFTarget
omra	yohf	0.6691	0	427	sRNARFTarget
omra	dcta	0.66907	0	428	sRNARFTarget
omra	hypf	0.66907	0	429	sRNARFTarget
omra	gard	0.66906	0	430	sRNARFTarget
spf	opgd	0.66906	0	431	sRNARFTarget
omra	ydfu	0.66905	0	432	sRNARFTarget
omrb	yhdy	0.669	0	433	sRNARFTarget
spf	rep	0.66896	0	434	sRNARFTarget
omra	nhoa	0.66892	0	435	sRNARFTarget
spf	fabf	0.66887	0	436	sRNARFTarget
dsra	ycfz	0.66885	0	437	sRNARFTarget
omra	yjgr	0.66884	0	438	sRNARFTarget
omra	gudd	0.66882	0	439	sRNARFTarget
omra	ycbf	0.66882	0	440	sRNARFTarget
rybb	ycfl	0.66882	0	441	sRNARFTarget
spf	phet	0.66861	0	442	sRNARFTarget
spf	ubid	0.66858	0	443	sRNARFTarget
omra	adhp	0.66853	0	444	sRNARFTarget
spf	gdha	0.66844	1	445	sRNARFTarget
spf	ynfk	0.66835	0	446	sRNARFTarget
omra	glxr	0.66833	0	447	sRNARFTarget
omra	ygft	0.66823	0	448	sRNARFTarget
spf	ygcs	0.66823	0	449	sRNARFTarget
spf	poth	0.66822	0	450	sRNARFTarget
omra	gatd	0.66818	0	451	sRNARFTarget
spf	dld	0.66818	0	452	sRNARFTarget
omra	arac	0.66816	0	453	sRNARFTarget
mica	ldtc	0.66801	0	454	sRNARFTarget
rybb	ydjh	0.66799	0	455	sRNARFTarget
omra	murd	0.66798	0	456	sRNARFTarget
omra	yidr	0.66793	0	457	sRNARFTarget
spf	yrfg	0.66779	0	458	sRNARFTarget
spf	narz	0.66771	0	459	sRNARFTarget
rybb	rsmg	0.6677	0	460	sRNARFTarget
spf	rlud	0.66768	0	461	sRNARFTarget
spf	yjga	0.66767	0	462	sRNARFTarget
spf	yccs	0.66759	0	463	sRNARFTarget
omra	ribd	0.66758	0	464	sRNARFTarget
spf	pfld	0.66754	0	465	sRNARFTarget
omra	ytjc	0.66748	0	466	sRNARFTarget
rybb	hint	0.66748	0	467	sRNARFTarget
dsra	pqql	0.66739	0	468	sRNARFTarget
omra	yedi	0.66738	0	469	sRNARFTarget
omra	ruvb	0.6673	0	470	sRNARFTarget
omra	argd	0.66729	0	471	sRNARFTarget
spf	ssea	0.66728	0	472	sRNARFTarget
omra	allr	0.66726	0	473	sRNARFTarget
rybb	icd	0.66723	0	474	sRNARFTarget
spf	pepq	0.6672	0	475	sRNARFTarget
omra	fabg	0.66715	0	476	sRNARFTarget
spf	dham	0.66712	0	477	sRNARFTarget
omra	hokd	0.66704	0	478	sRNARFTarget
omra	metb	0.66703	0	479	sRNARFTarget
omra	ybjt	0.6669	0	480	sRNARFTarget
spf	tgt	0.66684	0	481	sRNARFTarget
omra	ycjs	0.66677	0	482	sRNARFTarget
omra	ybhk	0.66675	0	483	sRNARFTarget
dsra	cas3	0.66672	0	484	sRNARFTarget
gcvb	msrp	0.66659	0	485	sRNARFTarget
spf	ygic	0.66657	0	486	sRNARFTarget
omra	efeb	0.66647	0	487	sRNARFTarget
micc	ompa	0.66643	0	488	sRNARFTarget
omra	abga	0.66639	0	489	sRNARFTarget
omra	kbl	0.66638	0	490	sRNARFTarget
omra	bglf	0.6663	0	491	sRNARFTarget
omra	pdxb	0.66629	0	492	sRNARFTarget
dsra	idnr	0.66626	0	493	sRNARFTarget
omra	yrar	0.66626	0	494	sRNARFTarget
spf	thya	0.66619	0	495	sRNARFTarget
omra	pdea	0.66616	0	496	sRNARFTarget
spf	meth	0.66603	0	497	sRNARFTarget
omra	higb	0.66602	0	498	sRNARFTarget
spf	rlmd	0.66602	0	499	sRNARFTarget
dsra	yihr	0.666	0	500	sRNARFTarget
omra	yhhw	0.666	0	501	sRNARFTarget
spf	ydbk	0.66599	0	502	sRNARFTarget
dsra	yhhi	0.66594	0	503	sRNARFTarget
rybb	yhcn	0.66592	0	504	sRNARFTarget
spf	pgi	0.66592	0	505	sRNARFTarget
spf	yhjc	0.66591	0	506	sRNARFTarget
omra	psut	0.66579	0	507	sRNARFTarget
omra	glgx	0.66575	0	508	sRNARFTarget
spf	dmsa	0.66573	0	509	sRNARFTarget
mica	ompf	0.66571	0	510	sRNARFTarget
rydc	rpos	0.66566	0	511	sRNARFTarget
dsra	yrai	0.66565	0	512	sRNARFTarget
omrb	yqja	0.66562	0	513	sRNARFTarget
omra	xdhd	0.6656	0	514	sRNARFTarget
dsra	waag	0.66548	0	515	sRNARFTarget
omra	ssna	0.66545	0	516	sRNARFTarget
omra	lsrc	0.66541	0	517	sRNARFTarget
omra	quec	0.6654	0	518	sRNARFTarget
rybb	yden	0.66531	0	519	sRNARFTarget
spf	ubib	0.66528	0	520	sRNARFTarget
omra	trec	0.66526	0	521	sRNARFTarget
omra	cusr	0.66518	0	522	sRNARFTarget
omra	poxb	0.66516	0	523	sRNARFTarget
omrb	mutm	0.66516	0	524	sRNARFTarget
spf	gltp	0.66514	0	525	sRNARFTarget
omra	ybio	0.6651	0	526	sRNARFTarget
omra	glcb	0.66505	0	527	sRNARFTarget
omra	hemd	0.66503	0	528	sRNARFTarget
spf	ybib	0.66494	0	529	sRNARFTarget
omra	mdfa	0.66492	0	530	sRNARFTarget
omra	fsaa	0.66481	0	531	sRNARFTarget
spf	hrpa	0.66478	0	532	sRNARFTarget
omra	dcyd	0.66477	0	533	sRNARFTarget
omra	yeii	0.66476	0	534	sRNARFTarget
omra	acna	0.66474	0	535	sRNARFTarget
spf	yebt	0.66469	0	536	sRNARFTarget
spf	pyrb	0.66468	0	537	sRNARFTarget
omra	yhfw	0.66464	0	538	sRNARFTarget
dsra	xylg	0.66457	0	539	sRNARFTarget
omra	glsa	0.66454	0	540	sRNARFTarget
omra	yphe	0.66452	0	541	sRNARFTarget
spf	maeb	0.66448	0	542	sRNARFTarget
omra	pcm	0.66443	0	543	sRNARFTarget
spf	seca	0.66438	0	544	sRNARFTarget
spf	nadr	0.66437	0	545	sRNARFTarget
omrb	mdtk	0.66434	0	546	sRNARFTarget
omra	fepc	0.66433	0	547	sRNARFTarget
omra	spec	0.66428	0	548	sRNARFTarget
spf	yjfc	0.66427	0	549	sRNARFTarget
spf	feob	0.66419	0	550	sRNARFTarget
omra	yphb	0.66411	0	551	sRNARFTarget
omra	nupx	0.6641	0	552	sRNARFTarget
spf	trpb	0.66409	0	553	sRNARFTarget
omra	ycjx	0.66407	0	554	sRNARFTarget
omrb	flda	0.66402	0	555	sRNARFTarget
