sRNA	mRNA	Score	Class	OrdinalRank	Program
gcvb	pm_rs03135	0.5062	1	135	sRNARFTarget
gcvb	pm_rs04625	0.50601	0	136	sRNARFTarget
gcvb	pm_rs00640	0.50595	0	137	sRNARFTarget
gcvb	pm_rs03065	0.50575	0	138	sRNARFTarget
gcvb	pm0812	0.50574	0	139	sRNARFTarget
gcvb	pm_rs06250	0.50566	0	140	sRNARFTarget
gcvb	pm_rs01830	0.50542	0	141	sRNARFTarget
gcvb	pm_rs06175	0.50536	0	142	sRNARFTarget
gcvb	pm_rs00200	0.50525	0	143	sRNARFTarget
gcvb	pm0805	0.50496	0	144	sRNARFTarget
gcvb	pm_rs06575	0.50488	0	145	sRNARFTarget
gcvb	pm_rs04110	0.50446	0	146	sRNARFTarget
gcvb	pm_rs02900	0.50444	0	147	sRNARFTarget
gcvb	pm_rs03100	0.50436	0	148	sRNARFTarget
gcvb	pm_rs07695	0.5041	0	149	sRNARFTarget
gcvb	pm_rs05895	0.50383	0	150	sRNARFTarget
gcvb	pm_rs06420	0.5038	0	151	sRNARFTarget
gcvb	pm_rs01270	0.50368	0	152	sRNARFTarget
gcvb	pm_rs02520	0.50359	0	153	sRNARFTarget
gcvb	pm_rs02585	0.50357	0	154	sRNARFTarget
gcvb	pm_rs09165	0.50338	0	155	sRNARFTarget
gcvb	pm0480	0.50332	0	156	sRNARFTarget
gcvb	pm_rs09065	0.5033	0	157	sRNARFTarget
gcvb	pm_rs03635	0.50329	0	158	sRNARFTarget
gcvb	pm_rs04425	0.50323	0	159	sRNARFTarget
gcvb	isph	0.50279	0	160	sRNARFTarget
gcvb	pm_rs00655	0.50277	0	161	sRNARFTarget
gcvb	pm_rs01720	0.50271	0	162	sRNARFTarget
gcvb	pm_rs08880	0.50264	0	163	sRNARFTarget
gcvb	pm_rs03940	0.50263	0	164	sRNARFTarget
gcvb	pm_rs07220	0.50257	0	165	sRNARFTarget
gcvb	pm_rs03390	0.50219	0	166	sRNARFTarget
gcvb	pm_rs08900	0.50209	0	167	sRNARFTarget
gcvb	pm_rs02595	0.50201	0	168	sRNARFTarget
gcvb	ilvh	0.50197	0	169	sRNARFTarget
gcvb	pm_rs07890	0.50173	0	170	sRNARFTarget
gcvb	pm_rs10070	0.5017	0	171	sRNARFTarget
gcvb	pm_rs05095	0.50169	0	172	sRNARFTarget
gcvb	pm_rs07930	0.50157	0	173	sRNARFTarget
gcvb	pm_rs09380	0.50153	0	174	sRNARFTarget
gcvb	pm_rs09490	0.50153	0	175	sRNARFTarget
gcvb	pm_rs10195	0.50129	0	176	sRNARFTarget
gcvb	tata	0.50125	0	177	sRNARFTarget
gcvb	murd	0.501	0	178	sRNARFTarget
gcvb	pm_rs00015	0.50091	0	179	sRNARFTarget
gcvb	pm_rs10245	0.50076	0	180	sRNARFTarget
gcvb	pm_rs01005	0.50067	0	181	sRNARFTarget
gcvb	pm_rs08890	0.5006	0	182	sRNARFTarget
gcvb	pm_rs07645	0.50021	0	183	sRNARFTarget
gcvb	pm_rs02575	0.50019	0	184	sRNARFTarget
gcvb	pm_rs03680	0.49994	0	185	sRNARFTarget
gcvb	rlud	0.49989	0	186	sRNARFTarget
gcvb	pm_rs08485	0.49986	0	187	sRNARFTarget
gcvb	pm_rs03085	0.4998	0	188	sRNARFTarget
gcvb	pm_rs08145	0.49979	0	189	sRNARFTarget
gcvb	upp	0.49979	0	190	sRNARFTarget
gcvb	pm_rs01905	0.49971	0	191	sRNARFTarget
gcvb	pm_rs09685	0.49968	0	192	sRNARFTarget
gcvb	pm_rs03775	0.49956	0	193	sRNARFTarget
gcvb	pm_rs01195	0.49945	0	194	sRNARFTarget
gcvb	pm_rs03025	0.49936	0	195	sRNARFTarget
gcvb	pm_rs06625	0.49929	0	196	sRNARFTarget
gcvb	pm_rs07435	0.49924	0	197	sRNARFTarget
gcvb	pm_rs00615	0.49914	0	198	sRNARFTarget
gcvb	pm_rs04655	0.49898	0	199	sRNARFTarget
gcvb	pm_rs08480	0.4989	0	200	sRNARFTarget
gcvb	dnak	0.49881	0	201	sRNARFTarget
gcvb	pm_rs01090	0.49881	0	202	sRNARFTarget
gcvb	pm_rs02035	0.4988	0	203	sRNARFTarget
gcvb	pm_rs01810	0.49876	0	204	sRNARFTarget
gcvb	rihb	0.49875	0	205	sRNARFTarget
gcvb	pm_rs07825	0.49874	0	206	sRNARFTarget
gcvb	pm_rs04595	0.49868	0	207	sRNARFTarget
gcvb	pm_rs03505	0.49853	0	208	sRNARFTarget
gcvb	pm_rs09465	0.49844	0	209	sRNARFTarget
gcvb	pm_rs09565	0.49842	0	210	sRNARFTarget
gcvb	pm_rs02720	0.49837	0	211	sRNARFTarget
gcvb	pm_rs00030	0.49832	0	212	sRNARFTarget
gcvb	pm_rs09700	0.49826	0	213	sRNARFTarget
gcvb	pm_rs03170	0.4981	0	214	sRNARFTarget
gcvb	pm_rs07110	0.4981	0	215	sRNARFTarget
gcvb	pm_rs00285	0.49803	0	216	sRNARFTarget
gcvb	panf	0.49795	0	217	sRNARFTarget
gcvb	pm_rs05200	0.49785	0	218	sRNARFTarget
gcvb	pm_rs00155	0.49776	0	219	sRNARFTarget
gcvb	pm_rs09185	0.49775	0	220	sRNARFTarget
gcvb	pm_rs08265	0.49758	0	221	sRNARFTarget
gcvb	pm_rs06705	0.49753	0	222	sRNARFTarget
gcvb	pm_rs07330	0.49752	0	223	sRNARFTarget
gcvb	pm_rs06630	0.49751	0	224	sRNARFTarget
gcvb	pm_rs02280	0.49741	0	225	sRNARFTarget
gcvb	znuc	0.49737	0	226	sRNARFTarget
gcvb	pm_rs01330	0.49736	0	227	sRNARFTarget
gcvb	pm_rs05455	0.4972	0	228	sRNARFTarget
gcvb	pm_rs04330	0.49705	0	229	sRNARFTarget
gcvb	pm_rs10225	0.497	0	230	sRNARFTarget
gcvb	pm_rs00045	0.4968	0	231	sRNARFTarget
gcvb	pm_rs06735	0.49679	0	232	sRNARFTarget
gcvb	pm_rs05870	0.49673	0	233	sRNARFTarget
gcvb	pm_rs09215	0.49668	0	234	sRNARFTarget
gcvb	pote	0.49668	0	235	sRNARFTarget
gcvb	pm_rs04540	0.49667	0	236	sRNARFTarget
gcvb	pm_rs05285	0.49666	0	237	sRNARFTarget
gcvb	pm_rs09285	0.49666	0	238	sRNARFTarget
gcvb	prfa	0.4966	0	239	sRNARFTarget
gcvb	pm_rs06530	0.49654	0	240	sRNARFTarget
gcvb	mure	0.49652	0	241	sRNARFTarget
gcvb	pm_rs03755	0.49647	0	242	sRNARFTarget
gcvb	pm_rs01095	0.49639	0	243	sRNARFTarget
gcvb	pm_rs00460	0.49638	0	244	sRNARFTarget
gcvb	pm_rs05605	0.49635	0	245	sRNARFTarget
gcvb	pm_rs08835	0.49635	0	246	sRNARFTarget
gcvb	pm_rs08295	0.49626	0	247	sRNARFTarget
gcvb	ppnk	0.49625	0	248	sRNARFTarget
gcvb	pm_rs04870	0.4962	0	249	sRNARFTarget
gcvb	pm_rs09060	0.49619	0	250	sRNARFTarget
gcvb	pm_rs01390	0.49605	0	251	sRNARFTarget
gcvb	pm_rs09585	0.49601	0	252	sRNARFTarget
gcvb	pm_rs10390	0.49598	0	253	sRNARFTarget
gcvb	pm_rs08665	0.49588	0	254	sRNARFTarget
gcvb	pm_rs05030	0.49586	0	255	sRNARFTarget
gcvb	pm_rs07710	0.49586	0	256	sRNARFTarget
gcvb	pm_rs08225	0.4958	0	257	sRNARFTarget
gcvb	pm_rs10125	0.49574	0	258	sRNARFTarget
gcvb	pm_rs00165	0.49573	0	259	sRNARFTarget
gcvb	pm_rs02175	0.49565	0	260	sRNARFTarget
gcvb	pm_rs07870	0.49563	0	261	sRNARFTarget
gcvb	pm_rs05885	0.49559	0	262	sRNARFTarget
gcvb	pm_rs10075	0.49557	0	263	sRNARFTarget
gcvb	obge	0.49544	0	264	sRNARFTarget
gcvb	pm_rs01450	0.49543	0	265	sRNARFTarget
gcvb	pm_rs05090	0.49531	0	266	sRNARFTarget
gcvb	pm1934	0.49529	0	267	sRNARFTarget
gcvb	pm_rs02470	0.4952	0	268	sRNARFTarget
gcvb	pm_rs05260	0.49508	0	269	sRNARFTarget
gcvb	pm_rs08470	0.49497	0	270	sRNARFTarget
gcvb	pm_rs05410	0.49489	0	271	sRNARFTarget
gcvb	pm_rs05555	0.49487	0	272	sRNARFTarget
gcvb	pm_rs04455	0.49481	0	273	sRNARFTarget
gcvb	pm_rs05295	0.49463	0	274	sRNARFTarget
gcvb	pm_rs07935	0.49459	0	275	sRNARFTarget
gcvb	pm_rs03650	0.49456	0	276	sRNARFTarget
gcvb	pm_rs09615	0.49447	0	277	sRNARFTarget
gcvb	usha	0.49446	0	278	sRNARFTarget
gcvb	pm_rs05765	0.49438	0	279	sRNARFTarget
gcvb	pm_rs04300	0.49434	0	280	sRNARFTarget
gcvb	pm_rs03600	0.49428	0	281	sRNARFTarget
gcvb	pm_rs07345	0.49426	0	282	sRNARFTarget
gcvb	pm_rs08450	0.49421	0	283	sRNARFTarget
gcvb	pm_rs01675	0.49416	0	284	sRNARFTarget
gcvb	pm_rs03270	0.49415	0	285	sRNARFTarget
gcvb	pm_rs09595	0.49409	0	286	sRNARFTarget
gcvb	pm_rs03625	0.49404	0	287	sRNARFTarget
gcvb	pm_rs07205	0.49385	0	288	sRNARFTarget
gcvb	pm_rs04515	0.4938	0	289	sRNARFTarget
gcvb	pm_rs02045	0.49375	0	290	sRNARFTarget
gcvb	pm_rs00570	0.49374	0	291	sRNARFTarget
gcvb	pm_rs03435	0.49364	0	292	sRNARFTarget
gcvb	pm_rs01505	0.49361	0	293	sRNARFTarget
gcvb	pm_rs06610	0.49358	0	294	sRNARFTarget
gcvb	pm_rs05700	0.49354	0	295	sRNARFTarget
gcvb	pm_rs03190	0.49352	0	296	sRNARFTarget
gcvb	pm_rs05775	0.49348	0	297	sRNARFTarget
gcvb	pm_rs03265	0.49346	0	298	sRNARFTarget
gcvb	pm_rs09085	0.49344	0	299	sRNARFTarget
gcvb	prfc	0.49343	0	300	sRNARFTarget
gcvb	pm_rs05560	0.49331	0	301	sRNARFTarget
gcvb	pm_rs03055	0.4933	0	302	sRNARFTarget
gcvb	pm1121	0.49326	0	303	sRNARFTarget
gcvb	pm0310	0.4932	0	304	sRNARFTarget
gcvb	artm	0.49317	0	305	sRNARFTarget
gcvb	pm_rs02090	0.49315	0	306	sRNARFTarget
gcvb	pm_rs06825	0.4931	0	307	sRNARFTarget
gcvb	pm_rs02535	0.49309	0	308	sRNARFTarget
gcvb	pm_rs08595	0.49307	0	309	sRNARFTarget
gcvb	pm_rs05845	0.49306	0	310	sRNARFTarget
gcvb	pm_rs04420	0.49305	0	311	sRNARFTarget
gcvb	pm_rs01745	0.49301	0	312	sRNARFTarget
gcvb	pm_rs02060	0.49297	0	313	sRNARFTarget
gcvb	pm1841	0.49291	0	314	sRNARFTarget
gcvb	rimo	0.49278	0	315	sRNARFTarget
gcvb	pm_rs10140	0.49271	0	316	sRNARFTarget
gcvb	pm_rs07690	0.49269	0	317	sRNARFTarget
gcvb	pm_rs06995	0.49264	0	318	sRNARFTarget
gcvb	pm_rs01120	0.49263	0	319	sRNARFTarget
gcvb	pm_rs05025	0.49256	0	320	sRNARFTarget
gcvb	pm_rs06535	0.49248	0	321	sRNARFTarget
gcvb	pm_rs00180	0.4924	0	322	sRNARFTarget
gcvb	pm_rs10410	0.49238	0	323	sRNARFTarget
gcvb	fusa	0.49236	0	324	sRNARFTarget
gcvb	ispf	0.49234	0	325	sRNARFTarget
gcvb	pm_rs04850	0.49233	0	326	sRNARFTarget
gcvb	pm_rs01040	0.49221	0	327	sRNARFTarget
gcvb	pm_rs04175	0.4922	0	328	sRNARFTarget
gcvb	pm_rs01210	0.49216	1	329	sRNARFTarget
gcvb	pyrg	0.49211	0	330	sRNARFTarget
gcvb	pm_rs09290	0.4921	0	331	sRNARFTarget
gcvb	pm_rs01890	0.49209	0	332	sRNARFTarget
gcvb	pm_rs04000	0.49202	0	333	sRNARFTarget
gcvb	pm_rs00380	0.49189	0	334	sRNARFTarget
gcvb	pm_rs06670	0.49184	0	335	sRNARFTarget
gcvb	pm_rs08220	0.49178	0	336	sRNARFTarget
gcvb	pm_rs08710	0.49175	0	337	sRNARFTarget
gcvb	pm_rs05035	0.4917	0	338	sRNARFTarget
gcvb	pm_rs09660	0.49162	0	339	sRNARFTarget
gcvb	aspa	0.4914	0	340	sRNARFTarget
gcvb	rpld	0.49132	0	341	sRNARFTarget
gcvb	rplx	0.49128	0	342	sRNARFTarget
gcvb	pm_rs06955	0.49122	0	343	sRNARFTarget
gcvb	phea	0.49117	0	344	sRNARFTarget
gcvb	pm_rs08430	0.49114	0	345	sRNARFTarget
gcvb	pm_rs02080	0.49112	0	346	sRNARFTarget
gcvb	pm_rs07040	0.49111	0	347	sRNARFTarget
gcvb	pm_rs09275	0.49108	0	348	sRNARFTarget
gcvb	pm_rs01010	0.49107	0	349	sRNARFTarget
gcvb	pm_rs09035	0.49107	0	350	sRNARFTarget
gcvb	pm_rs09605	0.49107	0	351	sRNARFTarget
gcvb	fruk	0.491	0	352	sRNARFTarget
gcvb	pm_rs00490	0.49099	0	353	sRNARFTarget
gcvb	pm_rs09710	0.49099	0	354	sRNARFTarget
gcvb	pm_rs00965	0.49079	0	355	sRNARFTarget
gcvb	pm_rs05715	0.49078	0	356	sRNARFTarget
gcvb	pm_rs03800	0.49077	0	357	sRNARFTarget
gcvb	pm_rs09920	0.49074	1	358	sRNARFTarget
gcvb	pm_rs05405	0.49071	0	359	sRNARFTarget
gcvb	pm_rs06370	0.49071	0	360	sRNARFTarget
gcvb	pm_rs06615	0.49063	0	361	sRNARFTarget
gcvb	pm_rs02500	0.49058	0	362	sRNARFTarget
gcvb	pm0654	0.49052	0	363	sRNARFTarget
gcvb	pm_rs02985	0.49041	0	364	sRNARFTarget
gcvb	pm_rs10280	0.49041	0	365	sRNARFTarget
gcvb	pm_rs05470	0.49034	0	366	sRNARFTarget
gcvb	pm_rs06065	0.49034	0	367	sRNARFTarget
gcvb	pm_rs03745	0.49028	0	368	sRNARFTarget
gcvb	hsca	0.49021	0	369	sRNARFTarget
gcvb	pm_rs05635	0.49018	0	370	sRNARFTarget
gcvb	pm_rs01460	0.49011	0	371	sRNARFTarget
gcvb	pm_rs07530	0.49011	0	372	sRNARFTarget
gcvb	pm_rs06430	0.49009	0	373	sRNARFTarget
gcvb	pm_rs01130	0.49008	0	374	sRNARFTarget
gcvb	glya	0.49005	0	375	sRNARFTarget
gcvb	pm_rs02385	0.49001	0	376	sRNARFTarget
gcvb	pm_rs07000	0.48997	0	377	sRNARFTarget
gcvb	pm0682	0.48989	0	378	sRNARFTarget
gcvb	pm_rs00970	0.48977	0	379	sRNARFTarget
gcvb	pm_rs05330	0.48977	0	380	sRNARFTarget
gcvb	pm_rs01895	0.48972	0	381	sRNARFTarget
gcvb	pm_rs00395	0.48969	0	382	sRNARFTarget
gcvb	pm_rs02110	0.48955	0	383	sRNARFTarget
gcvb	pm_rs02875	0.48954	0	384	sRNARFTarget
gcvb	pm_rs04335	0.48949	0	385	sRNARFTarget
gcvb	rph	0.48935	0	386	sRNARFTarget
gcvb	pm_rs10445	0.48928	0	387	sRNARFTarget
gcvb	pm_rs06785	0.48926	0	388	sRNARFTarget
gcvb	pm_rs03355	0.48925	0	389	sRNARFTarget
gcvb	pm_rs08380	0.48923	0	390	sRNARFTarget
gcvb	pm_rs03985	0.48922	0	391	sRNARFTarget
gcvb	pm_rs05505	0.48919	0	392	sRNARFTarget
gcvb	pm_rs06905	0.48918	0	393	sRNARFTarget
gcvb	pm_rs02295	0.48908	0	394	sRNARFTarget
gcvb	pm_rs04865	0.48908	0	395	sRNARFTarget
gcvb	pm_rs04575	0.48907	0	396	sRNARFTarget
gcvb	pm_rs08645	0.48905	0	397	sRNARFTarget
gcvb	pm_rs03030	0.48903	0	398	sRNARFTarget
gcvb	pm_rs07915	0.48902	0	399	sRNARFTarget
gcvb	pm_rs08655	0.48899	0	400	sRNARFTarget
gcvb	pm_rs01480	0.48892	0	401	sRNARFTarget
gcvb	pm_rs03480	0.48889	0	402	sRNARFTarget
gcvb	pm_rs03210	0.48887	0	403	sRNARFTarget
gcvb	pm_rs04485	0.48887	0	404	sRNARFTarget
gcvb	pm_rs06560	0.48884	0	405	sRNARFTarget
gcvb	pm_rs07555	0.48882	0	406	sRNARFTarget
gcvb	pm_rs07100	0.48881	0	407	sRNARFTarget
gcvb	pm_rs03900	0.48877	0	408	sRNARFTarget
gcvb	pm_rs05145	0.48875	0	409	sRNARFTarget
gcvb	pm_rs08795	0.48869	0	410	sRNARFTarget
gcvb	pm_rs02165	0.4886	0	411	sRNARFTarget
gcvb	pm_rs05940	0.4886	0	412	sRNARFTarget
gcvb	pm_rs00805	0.48856	0	413	sRNARFTarget
gcvb	pm_rs05725	0.48855	0	414	sRNARFTarget
gcvb	pm_rs10345	0.48851	0	415	sRNARFTarget
gcvb	pm_rs04180	0.48847	0	416	sRNARFTarget
gcvb	pm_rs09220	0.48844	0	417	sRNARFTarget
gcvb	pure	0.48844	0	418	sRNARFTarget
gcvb	pm_rs02935	0.48843	0	419	sRNARFTarget
gcvb	pm_rs07590	0.4884	0	420	sRNARFTarget
gcvb	pm_rs00985	0.48837	0	421	sRNARFTarget
gcvb	pm_rs05495	0.4883	0	422	sRNARFTarget
gcvb	pm_rs08160	0.4883	0	423	sRNARFTarget
gcvb	pm_rs06460	0.48828	0	424	sRNARFTarget
gcvb	pm_rs05785	0.48827	0	425	sRNARFTarget
gcvb	pm_rs07575	0.48824	0	426	sRNARFTarget
gcvb	pm_rs02930	0.4882	0	427	sRNARFTarget
gcvb	pm_rs06595	0.4882	0	428	sRNARFTarget
gcvb	pm_rs05235	0.48819	0	429	sRNARFTarget
gcvb	pm_rs09245	0.48813	0	430	sRNARFTarget
gcvb	mepa	0.48812	0	431	sRNARFTarget
gcvb	pm_rs03470	0.48812	0	432	sRNARFTarget
gcvb	pm_rs05735	0.48809	0	433	sRNARFTarget
gcvb	pm_rs03655	0.48807	0	434	sRNARFTarget
gcvb	pm_rs07985	0.48804	0	435	sRNARFTarget
gcvb	pm_rs04765	0.488	0	436	sRNARFTarget
gcvb	pm_rs05960	0.48795	0	437	sRNARFTarget
gcvb	pm_rs06505	0.48794	0	438	sRNARFTarget
gcvb	groel	0.48791	0	439	sRNARFTarget
gcvb	pm_rs02540	0.48791	0	440	sRNARFTarget
gcvb	pm_rs04215	0.48789	0	441	sRNARFTarget
gcvb	pm_rs03575	0.48786	0	442	sRNARFTarget
gcvb	pm_rs01880	0.48785	0	443	sRNARFTarget
gcvb	pm_rs03280	0.48785	0	444	sRNARFTarget
gcvb	pm_rs06490	0.48783	0	445	sRNARFTarget
gcvb	pm_rs01955	0.48773	1	446	sRNARFTarget
gcvb	pm_rs07680	0.48772	0	447	sRNARFTarget
gcvb	pm_rs08780	0.48772	0	448	sRNARFTarget
gcvb	pm_rs02380	0.48768	0	449	sRNARFTarget
gcvb	pm_rs07845	0.4876	0	450	sRNARFTarget
gcvb	pm_rs05255	0.48752	0	451	sRNARFTarget
gcvb	pm_rs06450	0.48751	0	452	sRNARFTarget
gcvb	pm_rs03305	0.48744	0	453	sRNARFTarget
gcvb	pm_rs06480	0.48743	0	454	sRNARFTarget
gcvb	pm_rs03225	0.48739	0	455	sRNARFTarget
gcvb	pm_rs06300	0.48728	0	456	sRNARFTarget
gcvb	pm_rs02740	0.48727	0	457	sRNARFTarget
gcvb	pm_rs09320	0.48713	0	458	sRNARFTarget
