sRNA	mRNA	RF_Score	Class
isar1	slr0817	0.57425	0
isar1	sll1296	0.57422	0
psrr1	slr1390	0.57414	0
psrr1	sll0899	0.57413	0
isar1	sll0980	0.5741	0
isar1	slr0724	0.57409	0
psrr1	slr0328	0.57409	0
psrr1	sll0154	0.57407	0
isar1	slr1104	0.57404	0
psrr1	sll1498	0.57396	0
isar1	slr1277	0.57392	0
isar1	slr1753	0.57388	0
isar1	slr0434	0.57384	0
isar1	slr1093	0.57383	0
psrr1	ssl1263	0.57383	0
isar1	ssr1256	0.57376	0
psrr1	sll1894	0.57376	0
psrr1	slr0244	0.57373	0
isar1	slr0813	0.57371	0
isar1	ssr0332	0.57361	0
isar1	slr1133	0.57357	0
isar1	sll1284	0.57353	0
psrr1	sll1430	0.5735	0
psrr1	slr0093	0.57347	0
isar1	slr0938	0.57345	0
isar1	sll0765	0.57337	0
isar1	sll1938	0.57333	0
isar1	sll0282	0.57331	0
isar1	slr2104	0.57327	0
isar1	sll1941	0.5732	0
isar1	slr1969	0.57302	0
isar1	slr0108	0.57293	0
isar1	sll1399	0.57291	0
isar1	slr0473	0.57291	0
psrr1	slr1533	0.5729	0
psrr1	slr1940	0.57282	0
psrr1	slr1351	0.57278	0
psrr1	slr1628	0.57275	0
isar1	sll0263	0.57271	0
isar1	slr0607	0.57271	0
psrr1	slr1656	0.57269	0
isar1	ssl2384	0.57265	0
isar1	slr1742	0.57258	0
psrr1	slr0606	0.57258	0
isar1	slr0261	0.57255	0
isar1	sll0069	0.57252	0
isar1	slr1772	0.57249	0
isar1	sll1872	0.57246	0
isar1	sll1054	0.57242	0
isar1	sll0657	0.5724	0
psrr1	ssr3383	0.57239	0
isar1	sll0356	0.57238	0
isar1	sll0737	0.57234	0
isar1	slr0679	0.57232	0
isar1	sll1747	0.57228	0
isar1	slr0319	0.57227	0
psrr1	sll0036	0.57227	0
psrr1	sll1110	0.57218	0
isar1	slr0964	0.57217	0
isar1	slr1353	0.57217	0
psrr1	sll1545	0.57212	0
psrr1	sll1089	0.57203	0
psrr1	sll1360	0.57192	0
isar1	sll0895	0.57189	0
psrr1	sll0683	0.57188	0
isar1	slr1977	0.57187	0
psrr1	slr1030	0.57184	0
isar1	slr1250	0.57181	0
isar1	sll1056	0.57165	0
isar1	slr0816	0.57159	0
psrr1	sll0764	0.57158	0
isar1	sll0031	0.57155	0
isar1	sll0556	0.57155	0
psrr1	slr0321	0.57155	0
isar1	sll0513	0.57154	0
psrr1	sll1744	0.57154	0
isar1	slr0719	0.57149	0
isar1	slr0086	0.57144	0
isar1	sll1019	0.57141	0
isar1	slr1876	0.57139	0
psrr1	sll0902	0.57137	0
isar1	slr0904	0.57131	0
isar1	sll1443	0.57129	0
psrr1	sll0639	0.57124	0
isar1	slr0496	0.57121	0
isar1	sll1939	0.57117	0
isar1	slr1367	0.57114	0
isar1	slr1615	0.57114	0
isar1	slr1993	0.57114	0
isar1	ssr2803	0.57114	0
isar1	sll1098	0.57113	0
isar1	slr2015	0.57113	0
psrr1	slr0042	0.57112	0
isar1	sll0787	0.57107	0
psrr1	sll0204	0.57103	0
isar1	slr0747	0.57097	0
isar1	sll1818	0.57092	0
isar1	sll1277	0.57089	0
isar1	slr1747	0.57086	0
isar1	slr0453	0.57081	0
psrr1	sll1676	0.57081	0
isar1	sll1540	0.57077	0
isar1	slr0356	0.57075	0
isar1	slr0750	0.57074	1
psrr1	slr1159	0.57074	0
isar1	sll1900	0.57072	0
isar1	slr0315	0.5707	0
isar1	slr1546	0.57068	0
isar1	sll0558	0.57066	0
psrr1	sll0797	0.5706	0
psrr1	slr0925	0.57059	0
isar1	sll2009	0.57054	0
isar1	slr0962	0.57051	0
isar1	sll0296	0.57049	0
isar1	sll1151	0.57037	0
isar1	slr0644	0.57037	0
isar1	sll0577	0.57034	0
isar1	sll0410	0.57033	0
isar1	sll0920	0.57032	0
isar1	slr0698	0.5703	0
isar1	slr1908	0.57028	0
isar1	sll1994	0.57022	0
isar1	sll1294	0.57015	0
isar1	slr1573	0.57012	0
isar1	slr2070	0.57011	0
isar1	sll0497	0.57007	0
isar1	sll0518	0.57006	0
isar1	slr0930	0.57005	0
isar1	sll1040	0.57004	0
isar1	sll1363	0.57003	0
isar1	slr1603	0.57	0
isar1	sll1910	0.56997	0
isar1	slr1378	0.56995	0
psrr1	slr1521	0.56989	0
isar1	slr1414	0.56988	0
isar1	sll0398	0.56987	0
isar1	slr1534	0.56984	0
isar1	sll1325	0.56982	0
isar1	sll0415	0.5698	0
isar1	sll0295	0.56979	0
isar1	sll1369	0.56979	0
psrr1	slr1704	0.56978	0
psrr1	sll1294	0.56977	0
isar1	sll0886	0.56975	0
isar1	smr0003	0.56974	0
psrr1	sll0861	0.56972	0
isar1	slr1826	0.56971	0
isar1	sll0096	0.5697	0
isar1	slr1584	0.5696	0
isar1	slr0298	0.56959	0
psrr1	slr0897	0.56958	0
isar1	slr2041	0.56957	0
isar1	slr0502	0.56955	0
isar1	sll1077	0.56953	0
isar1	slr1222	0.56949	0
isar1	sll0436	0.56947	0
isar1	sll1586	0.56947	0
isar1	slr0666	0.56944	0
isar1	slr1179	0.56943	0
isar1	slr1771	0.56939	0
psrr1	ssl1498	0.56934	0
isar1	sll0325	0.56931	0
isar1	slr1731	0.56928	0
psrr1	slr1519	0.56924	0
psrr1	ssl0546	0.56924	0
isar1	slr0756	0.56917	0
isar1	slr1253	0.56917	0
isar1	sll0575	0.56915	0
isar1	sll0623	0.56913	0
isar1	slr1624	0.56913	0
isar1	ssr0657	0.56913	0
psrr1	sll0350	0.56912	0
isar1	sll1849	0.56911	0
psrr1	slr0161	0.56907	0
isar1	sll0424	0.56906	0
isar1	slr1530	0.56905	0
psrr1	slr0240	0.56899	0
isar1	slr1290	0.56893	0
isar1	slr1225	0.5689	0
isar1	slr1919	0.56881	0
psrr1	slr0989	0.56876	0
isar1	sll0680	0.56873	0
isar1	slr0322	0.56872	0
isar1	sll1330	0.56871	0
isar1	sll0149	0.56869	0
psrr1	sll1981	0.56861	0
isar1	slr1515	0.56855	0
isar1	sll0103	0.56853	0
isar1	slr1759	0.56849	0
isar1	slr1462	0.56848	0
psrr1	sll0412	0.56848	0
isar1	slr1461	0.56846	0
isar1	sll0923	0.56841	0
isar1	sll1541	0.56841	0
isar1	sll1581	0.5684	0
isar1	slr0936	0.5684	0
isar1	slr0089	0.56839	0
psrr1	slr1604	0.56837	0
isar1	sll1058	0.56834	0
psrr1	sll1326	0.56834	0
isar1	sll1459	0.56831	0
isar1	slr1675	0.56831	0
isar1	sll1902	0.5682	0
psrr1	sll0144	0.5682	0
isar1	sll0506	0.56817	0
isar1	slr0018	0.56814	0
isar1	sll1807	0.56813	0
isar1	slr0599	0.56813	0
isar1	sll1888	0.56794	0
isar1	slr0360	0.56789	0
isar1	sll1553	0.56784	0
psrr1	ssr0102	0.56783	0
isar1	sll1180	0.56782	0
isar1	sll1425	0.5678	0
isar1	slr0063	0.56779	0
isar1	slr1128	0.56779	0
psrr1	sll1818	0.56778	0
isar1	slr1880	0.56776	0
psrr1	sll0202	0.56762	0
isar1	sll1017	0.56759	0
isar1	slr0586	0.56753	0
isar1	sll1967	0.56751	0
isar1	slr1403	0.56751	0
isar1	slr1926	0.56751	0
psrr1	sll1618	0.56746	0
isar1	sll0321	0.56743	0
isar1	sll0495	0.56742	0
isar1	sll1143	0.56742	0
isar1	slr1084	0.56741	0
isar1	sll0041	0.56736	0
isar1	slr0342	0.56734	0
isar1	slr1493	0.56734	0
isar1	sll1463	0.56732	0
psrr1	sll1228	0.56732	0
isar1	sll1414	0.56731	0
psrr1	sll0723	0.56724	0
isar1	slr0192	0.56714	0
isar1	slr0677	0.56703	0
isar1	slr2105	0.56703	0
isar1	sll0723	0.567	0
isar1	slr1293	0.56697	0
isar1	sll1525	0.56696	0
isar1	slr0825	0.56696	0
isar1	sll1036	0.56695	0
psrr1	sll0487	0.56695	0
psrr1	slr1840	0.5669	0
isar1	slr0484	0.56689	0
isar1	slr0338	0.56687	0
isar1	slr1950	0.56687	0
isar1	slr0354	0.56684	0
isar1	sll1072	0.5668	0
isar1	slr1143	0.56679	0
isar1	slr1887	0.5667	0
isar1	sll0378	0.56668	0
isar1	slr0442	0.56667	0
isar1	slr1281	0.56667	0
isar1	slr0404	0.56666	0
isar1	slr0618	0.56665	0
isar1	sll0614	0.56662	0
isar1	sll1535	0.56659	0
isar1	sll0217	0.56657	0
isar1	sll0727	0.56657	0
isar1	sll0755	0.56656	0
isar1	sll1220	0.56654	0
isar1	slr2031	0.56653	0
isar1	sll1865	0.56652	0
psrr1	sll0759	0.56652	0
psrr1	sll1217	0.56652	0
isar1	slr0326	0.5665	0
isar1	slr1593	0.56644	0
isar1	slr0359	0.5664	0
isar1	slr1444	0.5664	0
isar1	sll1426	0.56631	0
isar1	sll0550	0.56629	0
isar1	slr1097	0.56627	0
isar1	sll1452	0.56626	0
isar1	slr1228	0.56626	0
isar1	slr0790	0.56623	0
psrr1	slr1289	0.56617	0
isar1	sll1968	0.56616	0
isar1	sll1738	0.56612	0
isar1	sll0661	0.56611	0
isar1	slr0066	0.56611	0
isar1	slr0637	0.56608	0
isar1	sll0481	0.56605	0
isar1	sll1489	0.56602	0
isar1	slr0116	0.56602	0
isar1	sll0994	0.56599	0
isar1	sll0502	0.56597	0
isar1	sll1579	0.56597	0
isar1	slr0619	0.56594	0
psrr1	slr0146	0.56592	0
isar1	sll0554	0.56591	0
psrr1	slr1726	0.56587	0
isar1	slr0378	0.56586	0
isar1	slr1255	0.56582	0
psrr1	slr1322	0.56582	0
isar1	sll1584	0.56579	0
isar1	slr2098	0.56579	0
isar1	slr1834	0.56578	1
psrr1	sll0896	0.56578	0
psrr1	slr1531	0.56576	0
isar1	slr0965	0.56573	0
isar1	slr0191	0.5657	0
isar1	slr0609	0.56563	0
psrr1	sll0362	0.56555	0
isar1	slr1397	0.56551	0
isar1	slr1719	0.56544	0
isar1	slr0749	0.56542	0
isar1	sll1496	0.56538	0
isar1	sll1198	0.56537	0
isar1	sll1725	0.56537	0
psrr1	slr1356	0.56536	0
isar1	sll0156	0.56532	0
isar1	slr0536	0.56531	0
isar1	ssl2148	0.5653	0
psrr1	slr1129	0.56529	0
isar1	slr1673	0.56525	0
isar1	sll1641	0.56524	0
isar1	sll0821	0.56522	0
isar1	sll0489	0.56518	0
isar1	sll1481	0.56517	0
psrr1	sll0290	0.56517	0
isar1	sll0837	0.56514	0
isar1	sll1469	0.56512	0
isar1	slr1557	0.56511	0
isar1	slr1251	0.56505	0
isar1	sll0656	0.56502	0
isar1	slr0357	0.56502	0
isar1	slr0398	0.56501	0
isar1	sll1752	0.565	0
psrr1	sll0595	0.565	0
psrr1	sll0656	0.56499	0
psrr1	sll1275	0.56497	0
isar1	slr1220	0.56495	0
isar1	slr1687	0.56494	0
isar1	sll0210	0.56493	0
isar1	slr1099	0.56489	0
isar1	slr2052	0.56488	0
isar1	sll0990	0.56487	0
isar1	slr1991	0.56487	0
psrr1	slr0536	0.56487	0
isar1	slr2073	0.56486	0
psrr1	sll1679	0.56485	0
isar1	sll0286	0.56479	0
isar1	slr0612	0.56478	0
isar1	ssl3382	0.56474	0
isar1	slr1951	0.56472	0
isar1	sll0173	0.56471	0
isar1	sll0298	0.5647	0
isar1	slr1055	0.5647	0
psrr1	slr0520	0.5647	0
isar1	slr0678	0.56469	0
psrr1	sll0179	0.56463	0
isar1	sll0207	0.56461	0
isar1	slr1347	0.56461	0
psrr1	sll0921	0.5646	0
isar1	slr2034	0.5645	0
isar1	sll1223	0.56449	0
isar1	sll1502	0.56449	0
isar1	sll0945	0.56447	0
isar1	sll0086	0.56446	0
isar1	sll0409	0.56446	0
isar1	sll0685	0.5644	0
isar1	slr0110	0.5644	0
isar1	slr0500	0.5644	0
psrr1	sll0647	0.56439	0
isar1	sll0023	0.56437	0
isar1	sll1064	0.56435	0
isar1	sll1343	0.56434	0
isar1	slr0809	0.56431	0
isar1	sll0400	0.56429	0
isar1	sll0394	0.56428	0
isar1	slr1871	0.56427	0
isar1	slr0899	0.56426	0
psrr1	slr1189	0.56424	0
psrr1	slr1779	0.56424	0
isar1	slr1808	0.5642	1
isar1	slr0798	0.56419	0
isar1	slr1626	0.56419	0
isar1	slr0580	0.56416	0
isar1	slr1751	0.56407	0
isar1	sll1775	0.56406	0
isar1	sll1628	0.56404	0
isar1	slr0335	0.56403	0
isar1	slr0211	0.56402	0
isar1	slr1319	0.56402	0
isar1	sll0816	0.564	0
psrr1	slr0172	0.564	0
isar1	sll0924	0.56396	0
psrr1	sll1544	0.56394	0
isar1	slr0156	0.56393	0
isar1	slr1322	0.56392	0
isar1	slr0084	0.56391	0
isar1	sll0838	0.56389	0
isar1	sll1612	0.56388	0
isar1	slr0971	0.56388	0
isar1	slr1274	0.56387	0
isar1	sll1879	0.56382	0
isar1	slr1216	0.56381	0
isar1	sll0997	0.56379	0
isar1	slr0907	0.56379	0
isar1	slr1763	0.56379	0
isar1	slr0885	0.56376	0
isar1	slr1129	0.56375	0
isar1	slr2030	0.56372	0
isar1	slr0386	0.56371	0
psrr1	sll0860	0.56369	0
psrr1	slr0083	0.56361	0
isar1	slr1843	0.56357	0
psrr1	slr0260	0.56355	0
isar1	sll0038	0.56354	0
psrr1	slr0947	0.56352	0
isar1	slr1691	0.56351	0
isar1	slr1697	0.56351	0
isar1	slr0596	0.5635	0
psrr1	slr0553	0.5635	0
isar1	slr1629	0.56348	0
isar1	sll0536	0.56343	0
psrr1	slr1123	0.56342	0
isar1	sll0373	0.56341	0
isar1	slr0783	0.56341	0
psrr1	sll0176	0.5634	0
isar1	sll2010	0.56339	0
psrr1	sll1558	0.56339	0
isar1	sll0909	0.56338	0
psrr1	slr0963	0.56336	0
psrr1	sll1027	0.56335	0
isar1	slr0772	0.56334	0
isar1	sll1601	0.56333	0
isar1	slr1090	0.56333	0
isar1	sll1317	0.56332	1
isar1	sll0683	0.56331	0
isar1	sll1485	0.56331	0
psrr1	sll1508	0.56331	0
psrr1	sll0536	0.56329	0
isar1	sll1921	0.56328	0
isar1	slr1189	0.56327	0
psrr1	slr0066	0.56327	0
isar1	sll1124	0.56325	0
isar1	slr1448	0.56323	0
isar1	sll1260	0.56322	0
isar1	slr0963	0.56319	0
psrr1	slr0168	0.56318	0
isar1	sll1905	0.56316	0
isar1	sll0535	0.5631	0
isar1	slr0812	0.5631	0
isar1	slr0361	0.56309	0
psrr1	slr1774	0.56309	0
isar1	sll0947	0.56307	0
isar1	sll1392	0.56307	0
isar1	slr0104	0.56306	0
psrr1	slr1894	0.56306	0
isar1	slr0197	0.56299	0
isar1	sll0662	0.56297	0
isar1	sll1915	0.56296	0
isar1	slr0363	0.56295	0
isar1	slr1939	0.56293	0
isar1	sll1659	0.56291	0
isar1	slr0208	0.5629	0
psrr1	slr1603	0.56289	0
isar1	slr0710	0.56288	0
psrr1	slr1649	0.56284	0
isar1	slr0583	0.56281	0
isar1	slr0959	0.56281	0
isar1	sll0010	0.56278	0
isar1	slr0649	0.56276	0
isar1	slr1917	0.56275	0
isar1	sll1981	0.56272	0
isar1	slr0237	0.56272	0
isar1	sll0290	0.5627	0
psrr1	ssl3549	0.56267	0
isar1	sll1395	0.56262	0
isar1	slr0355	0.56262	0
isar1	slr2062	0.56261	0
isar1	sll0853	0.56257	0
isar1	sll0427	0.56254	0
isar1	slr1906	0.56247	0
psrr1	sll0712	0.56246	0
isar1	sll0098	0.56245	0
isar1	sll0177	0.5624	0
isar1	sll1488	0.5624	0
isar1	slr1518	0.56238	0
psrr1	slr1657	0.56238	0
isar1	slr1200	0.56237	0
isar1	slr1735	0.56237	0
isar1	sll1131	0.56232	0
psrr1	sll1740	0.56231	0
psrr1	sll1481	0.56227	0
isar1	slr1909	0.56222	0
psrr1	slr2053	0.5622	0
isar1	slr1752	0.56219	0
isar1	slr0557	0.56218	0
isar1	slr1787	0.56216	0
isar1	sll0784	0.56215	0
isar1	sll1824	0.56211	0
isar1	slr1727	0.56211	0
isar1	sll0247	0.5621	0
isar1	sll1765	0.56208	0
isar1	slr0070	0.56208	0
psrr1	sll0065	0.56208	0
psrr1	slr1511	0.56208	0
isar1	slr1636	0.56206	0
isar1	slr2107	0.56206	0
isar1	ssl3383	0.56206	0
psrr1	sll1002	0.56206	0
psrr1	sll0704	0.56194	0
psrr1	sll1709	0.56193	0
isar1	slr1855	0.56188	0
isar1	slr1984	0.56187	0
isar1	sll0088	0.56184	0
psrr1	slr0063	0.56184	0
isar1	sll0337	0.56183	0
isar1	slr1590	0.56183	0
isar1	slr2013	0.56183	0
isar1	sll1721	0.56182	0
isar1	slr0565	0.56182	0
psrr1	sll1274	0.56181	0
psrr1	slr0883	0.56178	0
isar1	slr1737	0.56177	0
isar1	slr0093	0.56176	0
isar1	sll0754	0.56175	0
isar1	slr1115	0.56175	0
psrr1	sll0927	0.56171	0
isar1	sll0377	0.56168	0
isar1	sll0176	0.56166	0
isar1	sll1979	0.56164	0
isar1	slr1428	0.56164	0
psrr1	slr1312	0.56163	0
isar1	slr1004	0.56162	0
psrr1	sll0401	0.56162	0
isar1	slr0143	0.56158	0
psrr1	sll0166	0.56153	0
psrr1	slr1384	0.56153	0
isar1	sll0759	0.56148	0
isar1	slr0488	0.56148	0
isar1	slr0945	0.56148	0
isar1	sll1323	0.56146	0
psrr1	slr0604	0.56145	0
psrr1	slr0661	0.56142	0
isar1	slr0592	0.56133	0
isar1	sll1466	0.5613	0
isar1	sll0505	0.56129	0
isar1	sll1635	0.56127	0
isar1	sll1652	0.56124	0
isar1	slr2141	0.56123	0
psrr1	sll0058	0.56116	0
isar1	slr1854	0.56115	0
isar1	sll0066	0.56113	0
isar1	slr1464	0.56113	0
isar1	slr1900	0.56113	0
isar1	sll0471	0.56112	0
isar1	sll0649	0.5611	0
isar1	slr1901	0.56109	0
isar1	slr0662	0.56106	0
isar1	sll1688	0.56104	0
isar1	slr0493	0.56104	0
isar1	sll0158	0.56103	0
isar1	slr1992	0.56103	0
isar1	slr1821	0.56101	0
isar1	sll0456	0.561	0
isar1	ssr2554	0.56097	0
psrr1	slr1735	0.56096	0
isar1	sll1390	0.56095	0
isar1	sll1377	0.56093	0
isar1	slr0645	0.56093	0
isar1	slr0582	0.56091	0
isar1	slr1053	0.56091	0
isar1	slr0808	0.5609	0
isar1	sll0825	0.56087	0
isar1	slr1106	0.56085	0
isar1	sll0043	0.5608	0
isar1	sll1699	0.5608	0
isar1	slr1898	0.56079	0
isar1	slr1575	0.56075	0
isar1	slr0364	0.56071	0
isar1	slr0078	0.5607	0
isar1	slr0495	0.5607	0
isar1	sll0202	0.56069	0
isar1	sll0635	0.56069	0
psrr1	sll0244	0.56067	0
psrr1	sll0915	0.56067	0
psrr1	slr1934	0.56067	0
isar1	sll0817	0.56062	0
isar1	slr1312	0.56058	0
isar1	smr0001	0.56057	0
isar1	sll1776	0.56056	0
isar1	slr1794	0.56055	0
psrr1	slr0731	0.56052	0
isar1	sll0195	0.5605	0
isar1	sll0219	0.56048	0
isar1	slr1393	0.56048	0
isar1	slr0169	0.56045	0
psrr1	sll0286	0.56045	0
isar1	sll0993	0.56043	0
isar1	sll0442	0.56042	0
isar1	ssr0756	0.56042	0
isar1	slr0210	0.56041	0
isar1	sll0602	0.56038	0
isar1	sll1434	0.56036	0
isar1	slr2026	0.56034	0
isar1	slr0949	0.5603	0
isar1	slr1916	0.56029	0
isar1	slr1703	0.56027	0
isar1	sll1450	0.56026	0
isar1	sll0498	0.56025	0
isar1	slr0797	0.56023	0
isar1	slr0238	0.56022	0
psrr1	sll0912	0.56019	0
isar1	sll0241	0.56013	0
isar1	slr1597	0.56012	0
isar1	slr0383	0.56009	0
isar1	slr1897	0.56007	0
isar1	sll1477	0.56006	0
isar1	slr0935	0.56006	0
isar1	slr0257	0.56002	0
isar1	slr0633	0.56	0
isar1	sll0669	0.55999	0
psrr1	sll1776	0.55997	0
psrr1	slr0557	0.55997	0
isar1	slr1568	0.55996	0
isar1	sll1389	0.55993	0
isar1	slr2046	0.55991	0
isar1	sll0689	0.55989	0
isar1	slr0883	0.55987	0
psrr1	slr0357	0.55984	0
isar1	sll1681	0.55981	0
isar1	sll0779	0.55978	0
isar1	slr2045	0.55978	0
isar1	sll1191	0.55977	0
psrr1	slr0415	0.55977	0
isar1	sll1559	0.55976	0
psrr1	slr1224	0.55973	0
isar1	slr1559	0.55971	0
isar1	sll0443	0.55969	0
isar1	slr1348	0.55968	0
isar1	sll0766	0.55967	0
isar1	ssr1853	0.55966	0
isar1	slr0329	0.55964	0
isar1	slr1139	0.55963	0
isar1	slr1438	0.55962	0
isar1	slr1672	0.5596	0
isar1	sll1205	0.55959	0
isar1	slr0072	0.55958	0
psrr1	slr1963	0.55958	0
isar1	slr1039	0.55956	0
isar1	sll1245	0.55953	0
isar1	slr1979	0.55953	0
isar1	sll1724	0.55952	0
isar1	slr1541	0.55952	0
psrr1	sll1249	0.55951	0
isar1	sll0745	0.55946	0
isar1	sll0928	0.55945	0
isar1	slr1395	0.55944	0
isar1	slr0163	0.55942	0
psrr1	sll0785	0.55941	0
psrr1	slr0743	0.55938	0
isar1	sll1527	0.55937	0
isar1	slr1760	0.55937	0
isar1	slr1490	0.55935	0
isar1	sll1987	0.55933	0
psrr1	sll0022	0.55932	0
psrr1	slr0329	0.55932	0
isar1	slr0165	0.55931	0
isar1	sll0877	0.5593	0
isar1	slr0887	0.5593	0
isar1	slr0244	0.55928	0
isar1	sll1082	0.55927	0
isar1	slr0459	0.55927	0
isar1	slr2130	0.55926	0
isar1	slr1101	0.55925	0
isar1	slr1236	0.55925	0
isar1	slr1316	0.55925	0
isar1	slr0788	0.55924	0
isar1	sll0368	0.55922	0
isar1	slr0543	0.55922	0
psrr1	sll0601	0.55921	0
psrr1	sll1931	0.55918	0
isar1	sll1670	0.5591	0
isar1	sll1286	0.55904	0
isar1	slr0214	0.55903	0
psrr1	sll0711	0.55903	0
isar1	sll1299	0.55902	0
isar1	slr0446	0.55902	0
isar1	slr0241	0.559	0
psrr1	slr0074	0.55894	0
isar1	sll1308	0.55893	0
isar1	slr0457	0.55892	0
isar1	sll1534	0.55891	0
isar1	slr0815	0.55891	0
psrr1	slr1508	0.55891	0
