sRNA	mRNA	IntaRNA_Score	Class
psrr1	slr1411	0.9713	0
isar1	sll1967	0.97111	0
isar1	slr0337	0.97111	0
psrr1	ssr1114	0.97111	0
isar1	slr0322	0.97092	0
isar1	slr1624	0.97092	0
psrr1	slr1324	0.97053	0
isar1	sll0759	0.96995	0
isar1	sll1614	0.96935	0
isar1	slr1178	0.96935	0
isar1	slr1579	0.96915	0
isar1	sll1971	0.96895	0
isar1	slr1926	0.96895	0
psrr1	slr1249	0.96895	0
isar1	slr1942	0.96875	0
isar1	sll0414	0.96855	0
isar1	sll0670	0.96793	0
isar1	sll1021	0.96793	0
isar1	slr0836	0.96793	0
psrr1	ssl2296	0.96793	0
isar1	sll1056	0.96772	0
isar1	slr1376	0.9673	0
isar1	slr1838	0.9673	0
psrr1	sll0662	0.9673	0
psrr1	sll1959	0.9673	0
psrr1	slr1759	0.9673	0
psrr1	sll1408	0.96688	0
psrr1	slr1028	0.96688	0
isar1	slr1678	0.96666	0
psrr1	slr2035	0.96666	0
psrr1	sll0629	0.96645	0
psrr1	sll1166	0.96645	0
psrr1	sll0173	0.96623	0
psrr1	sll1605	0.96623	0
psrr1	sll1614	0.96602	0
psrr1	slr0989	0.96602	0
psrr1	slr1803	0.96602	0
isar1	sll0753	0.96558	0
isar1	slr0872	0.96558	0
isar1	sll1470	0.96514	0
isar1	slr1079	0.96401	0
isar1	slr0442	0.96332	0
psrr1	slr0817	0.96332	0
psrr1	sll0048	0.96309	0
psrr1	sll1628	0.96309	0
psrr1	sll0792	0.96238	0
psrr1	slr0325	0.96214	0
psrr1	slr0364	0.96214	0
psrr1	ssr1720	0.96214	0
isar1	sll0556	0.9619	0
isar1	slr0847	0.9619	0
psrr1	sll1509	0.96142	0
isar1	slr1024	0.96118	0
isar1	slr1644	0.96118	0
isar1	slr2102	0.96118	0
psrr1	sll1294	0.96118	0
isar1	slr1886	0.96069	0
psrr1	sll1933	0.9602	0
isar1	sll1441	0.95995	0
psrr1	slr0306	0.95995	0
psrr1	sll0017	0.9597	0
psrr1	slr1794	0.9597	0
psrr1	slr1851	0.9597	0
isar1	sll1392	0.95945	0
isar1	sll1725	0.95945	0
psrr1	sll1687	0.95945	0
psrr1	slr1202	0.95868	0
isar1	sll1294	0.95843	0
psrr1	sll0166	0.95843	0
psrr1	slr0049	0.95817	0
psrr1	slr0303	0.95817	0
isar1	slr1484	0.95791	0
psrr1	sll1069	0.95791	0
psrr1	slr1107	0.95791	0
isar1	slr1609	0.95712	0
isar1	slr1567	0.95686	0
psrr1	sll1878	0.95686	0
isar1	slr1880	0.95659	0
psrr1	sll2005	0.95659	0
isar1	slr1946	0.95632	0
psrr1	slr0459	0.95632	0
isar1	sll1583	0.95605	0
psrr1	sll0160	0.95605	0
psrr1	sll1001	0.95605	0
psrr1	slr2015	0.95605	0
psrr1	slr0492	0.95578	0
isar1	sll0983	0.95551	0
isar1	sll1722	0.95551	0
psrr1	sll0514	0.95551	0
psrr1	slr0596	0.95551	0
isar1	sll1663	0.95496	0
psrr1	sll1659	0.95496	0
psrr1	slr0603	0.95496	0
psrr1	slr0842	0.95496	0
psrr1	sll0672	0.95469	0
psrr1	slr0408	0.95441	0
psrr1	sll1633	0.95385	0
psrr1	sll1770	0.95385	0
psrr1	sll1031	0.95357	0
psrr1	slr1808	0.95357	0
psrr1	slr0061	0.95272	0
isar1	sll0319	0.95243	0
psrr1	slr1031	0.95185	0
isar1	slr0067	0.95156	0
isar1	slr2115	0.95156	0
psrr1	sll1037	0.95156	0
isar1	sll0656	0.95126	0
psrr1	sll0482	0.95126	0
psrr1	sll1471	0.95126	0
isar1	sll0267	0.95097	0
psrr1	sll0943	0.95097	0
psrr1	sll1157	0.95008	0
psrr1	slr0667	0.94978	0
isar1	sll0779	0.94947	0
isar1	sll1220	0.94947	0
psrr1	sll0502	0.94947	0
psrr1	slr1819	0.94917	0
isar1	slr1189	0.94887	0
psrr1	slr0884	0.94887	0
psrr1	sll0185	0.94856	0
psrr1	sll1786	0.94856	0
psrr1	slr0040	0.94825	0
isar1	slr1884	0.94794	0
psrr1	slr0963	0.94763	0
isar1	sll1127	0.94732	0
psrr1	sll0267	0.94732	0
psrr1	sll0721	0.94732	0
psrr1	slr0695	0.94732	0
psrr1	slr1312	0.94732	0
isar1	sll1360	0.947	0
psrr1	sll0135	0.947	0
psrr1	sll1520	0.947	0
psrr1	sll0446	0.94669	0
isar1	slr1970	0.94637	0
psrr1	sll0041	0.94637	0
psrr1	sll1359	0.94637	0
psrr1	slr0232	0.94637	0
psrr1	slr1790	0.94637	0
psrr1	slr1993	0.94637	0
isar1	sll1987	0.94605	0
psrr1	slr0625	0.94573	0
isar1	sll1702	0.94541	0
isar1	slr1211	0.94541	0
psrr1	slr1686	0.94541	0
psrr1	slr1748	0.94541	0
isar1	slr1603	0.94476	0
psrr1	slr1963	0.94476	0
isar1	sll0920	0.94443	0
isar1	sll1880	0.94443	0
psrr1	sll0103	0.94443	0
psrr1	sll0444	0.94443	0
isar1	sll1275	0.94411	0
psrr1	slr2102	0.94411	0
psrr1	slr1536	0.94378	0
isar1	slr0502	0.94344	0
psrr1	slr0099	0.94344	0
psrr1	sll1435	0.94311	0
psrr1	sll1393	0.94278	0
psrr1	slr1515	0.94278	0
isar1	slr0665	0.9421	1
isar1	slr0971	0.9421	0
isar1	slr0954	0.94176	0
psrr1	slr0708	0.94108	0
psrr1	slr1681	0.94108	0
isar1	slr1855	0.94073	0
isar1	slr1122	0.94039	0
psrr1	slr0448	0.94039	0
psrr1	slr1950	0.94039	0
isar1	sll1326	0.94004	0
isar1	slr1270	0.94004	0
psrr1	slr0019	0.94004	0
psrr1	slr1613	0.94004	0
psrr1	sll0920	0.93969	0
psrr1	sll1406	0.93969	0
psrr1	slr0913	0.93969	0
psrr1	sll0787	0.93934	0
isar1	slr0222	0.93899	0
isar1	slr0369	0.93899	0
psrr1	sll0026	0.93899	0
psrr1	sll1689	0.93899	0
psrr1	slr0072	0.93899	0
isar1	slr1491	0.93863	0
psrr1	slr1908	0.93863	0
isar1	slr1727	0.93828	0
isar1	slr0885	0.93792	0
isar1	slr1093	0.93792	0
isar1	slr1318	0.93792	0
psrr1	slr0236	0.93792	0
psrr1	slr0079	0.93756	0
isar1	sll0227	0.9372	0
psrr1	slr1442	0.9372	0
psrr1	slr1835	0.9372	0
isar1	slr0801	0.93683	0
psrr1	sll0281	0.93683	0
psrr1	slr1048	0.93647	0
isar1	sll1473	0.9361	0
psrr1	sll1513	0.9361	0
isar1	sll1921	0.93573	0
psrr1	sll1747	0.93573	0
psrr1	slr0016	0.93573	0
psrr1	slr0613	0.93573	0
psrr1	slr1136	0.93573	0
psrr1	sll1550	0.93536	0
isar1	sll0370	0.93499	0
psrr1	sll0065	0.93499	0
psrr1	slr1332	0.93499	0
psrr1	sll0141	0.93462	0
isar1	sll1687	0.93424	0
psrr1	sll0043	0.93424	0
psrr1	sll0745	0.93424	0
psrr1	sll1738	0.93424	0
psrr1	slr0954	0.93387	0
isar1	slr2089	0.93349	0
psrr1	sll0569	0.93311	0
isar1	sll0086	0.93273	0
isar1	slr1467	0.93273	0
psrr1	sll1103	0.93234	0
isar1	sll0813	0.93196	0
isar1	sll1897	0.93196	0
psrr1	slr0226	0.93196	0
psrr1	slr0580	0.93196	0
isar1	sll1291	0.93157	0
isar1	slr2034	0.93157	0
psrr1	slr0358	0.93157	0
psrr1	slr1194	0.93157	0
psrr1	slr1509	0.93157	0
psrr1	sll1143	0.93118	0
psrr1	slr0984	0.93118	0
isar1	sll1019	0.93079	0
psrr1	slr1200	0.93079	0
psrr1	slr1977	0.93079	0
isar1	sll1882	0.9304	0
isar1	slr1811	0.9304	0
psrr1	slr0502	0.9304	0
isar1	sll1662	0.93	0
isar1	slr0448	0.93	0
psrr1	sll0379	0.9296	0
psrr1	sll0861	0.9296	0
isar1	slr0211	0.92921	0
isar1	slr0473	0.92921	0
psrr1	sll0616	0.92921	0
isar1	sll1352	0.9284	0
psrr1	slr2118	0.9284	0
isar1	sll0596	0.928	0
psrr1	sll0990	0.928	0
psrr1	slr0257	0.928	0
isar1	slr1751	0.92759	0
psrr1	sll1281	0.92759	0
psrr1	sll1581	0.92759	0
isar1	sll0103	0.92719	0
isar1	sll1167	0.92678	0
isar1	slr0449	0.92678	0
isar1	ssr1766	0.92678	0
psrr1	slr1047	0.92678	0
isar1	sll1180	0.92637	0
psrr1	sll0370	0.92637	0
psrr1	sll1704	0.92637	0
psrr1	slr0204	0.92637	0
isar1	sll0672	0.92595	0
psrr1	slr1879	0.92554	0
isar1	slr0484	0.92512	0
psrr1	sll0179	0.92512	0
isar1	sll0938	0.9247	0
isar1	sll1894	0.9247	0
isar1	slr0772	0.9247	0
psrr1	sll0689	0.9247	0
psrr1	sll1156	0.92428	0
psrr1	slr1124	0.92428	0
psrr1	slr1689	0.92386	0
isar1	slr0302	0.92343	0
psrr1	sll0630	0.92343	0
psrr1	slr0579	0.92343	0
isar1	slr1243	0.92301	0
isar1	slr1459	0.92301	0
isar1	slr1916	0.92301	0
psrr1	slr0639	0.92301	0
isar1	sll0379	0.92258	0
isar1	sll1123	0.92258	0
psrr1	sll0594	0.92258	0
psrr1	slr0263	0.92258	0
psrr1	sll2007	0.92215	0
psrr1	slr0670	0.92172	0
psrr1	sll1892	0.92128	0
isar1	slr1798	0.92085	0
psrr1	slr0081	0.92085	0
isar1	slr1223	0.92041	0
isar1	slr1820	0.92041	0
psrr1	sll1158	0.92041	0
isar1	sll0909	0.91997	0
isar1	slr0917	0.91997	0
isar1	slr0967	0.91997	0
psrr1	sll1333	0.91997	0
psrr1	sll1475	0.91997	0
psrr1	slr2095	0.91997	0
isar1	slr2131	0.91953	0
isar1	sll1598	0.91908	0
isar1	sll1689	0.91908	0
isar1	sll1799	0.91908	0
psrr1	sll0354	0.91908	0
psrr1	sll1853	0.91908	0
psrr1	slr1255	0.91908	0
psrr1	slr1837	0.91908	0
psrr1	slr1896	0.91908	0
psrr1	sll0242	0.91864	0
psrr1	slr0678	0.91864	0
isar1	sll1223	0.91819	0
psrr1	slr0510	0.91819	0
psrr1	slr0668	0.91819	0
isar1	sll1758	0.91683	0
isar1	sll1672	0.91638	0
isar1	sll0662	0.91592	0
isar1	slr1119	0.91592	0
psrr1	sll0665	0.91592	0
psrr1	sll1910	0.91592	0
isar1	sll0043	0.91546	0
isar1	slr0318	0.91546	0
isar1	sll0736	0.915	0
psrr1	sll0020	0.915	0
psrr1	sll1076	0.915	0
psrr1	slr0323	0.915	0
psrr1	slr1939	0.915	0
psrr1	sll0058	0.91453	0
psrr1	sll1124	0.91453	0
psrr1	sll1758	0.91407	0
psrr1	slr0744	0.91407	0
psrr1	sll0033	0.9136	0
psrr1	sll0898	0.9136	0
psrr1	sll0923	0.9136	0
psrr1	ssr1562	0.9136	0
isar1	slr1493	0.91313	0
psrr1	sll0290	0.91313	0
psrr1	sll0297	0.91313	0
psrr1	sll1080	0.91266	0
psrr1	slr1902	0.91218	0
isar1	sll0038	0.91171	0
psrr1	sll1091	0.91171	0
psrr1	slr0301	0.91171	0
psrr1	slr1938	0.91171	0
psrr1	sll0455	0.91123	0
psrr1	slr1315	0.91123	0
isar1	sll1344	0.91075	0
psrr1	ssr2009	0.91075	0
isar1	slr0640	0.91026	0
psrr1	slr1307	0.91026	0
psrr1	slr1812	0.91026	0
isar1	sll1324	0.90978	0
psrr1	slr2096	0.90978	0
psrr1	sll0986	0.90929	0
psrr1	slr0657	0.90929	0
isar1	sll0295	0.9088	0
isar1	sll0499	0.9088	0
isar1	sll0041	0.90831	0
isar1	sll0459	0.90831	0
isar1	slr0325	0.90831	0
isar1	sll0423	0.90782	0
isar1	sll1054	0.90782	0
psrr1	sll1079	0.90782	0
psrr1	slr0216	0.90782	0
psrr1	sll0237	0.90733	0
psrr1	slr1490	0.90733	0
psrr1	slr1664	0.90733	0
isar1	sll1546	0.90683	0
psrr1	slr0666	0.90683	0
isar1	sll1201	0.90633	0
isar1	ssl0738	0.90633	0
psrr1	sll0012	0.90633	0
psrr1	sll0677	0.90633	0
psrr1	sll1860	0.90633	0
psrr1	slr1356	0.90633	0
isar1	sll0980	0.90583	0
psrr1	sll1336	0.90583	0
isar1	slr1127	0.90532	0
psrr1	sll1527	0.90532	0
psrr1	slr1159	0.90532	0
isar1	sll0544	0.90482	0
psrr1	sll0887	0.90482	0
psrr1	slr1697	0.90482	0
psrr1	slr1726	0.90482	0
isar1	slr1808	0.90431	1
psrr1	sll0005	0.90431	0
isar1	sll0036	0.9038	0
isar1	sll0141	0.9038	0
isar1	sll0184	0.9038	0
isar1	slr1343	0.9038	0
psrr1	sll0219	0.90329	0
psrr1	sll1356	0.90329	0
psrr1	slr1771	0.90277	0
isar1	sll0037	0.90226	0
isar1	slr0597	0.90226	0
isar1	slr1784	0.90226	0
psrr1	sll0022	0.90226	0
psrr1	slr1463	0.90226	0
isar1	sll2012	0.90174	0
isar1	slr1591	0.90174	0
psrr1	sll1580	0.90174	0
psrr1	slr2087	0.90122	0
isar1	sll0149	0.90017	0
isar1	sll1833	0.90017	0
isar1	sll1941	0.90017	0
psrr1	slr0163	0.90017	0
psrr1	slr1338	0.90017	0
psrr1	ssl2153	0.90017	0
isar1	slr1575	0.89964	0
isar1	slr1776	0.89964	0
psrr1	slr0801	0.89964	0
psrr1	slr1278	0.89964	0
isar1	sll1817	0.89911	0
isar1	slr1734	0.89911	0
psrr1	sll0335	0.89911	0
psrr1	slr0338	0.89911	0
psrr1	slr0511	0.89911	0
isar1	slr0955	0.89858	0
psrr1	slr1201	0.89858	0
psrr1	slr1877	0.89858	0
isar1	slr0978	0.89805	0
psrr1	sll0833	0.89805	0
psrr1	slr0723	0.89805	0
psrr1	slr1847	0.89805	0
psrr1	slr1951	0.89805	0
isar1	slr0451	0.89751	0
isar1	slr0976	0.89751	0
psrr1	slr1198	0.89751	0
isar1	sll1771	0.89697	0
isar1	slr0739	0.89697	0
psrr1	sll0771	0.89643	0
psrr1	slr0114	0.89643	0
psrr1	slr0853	0.89643	0
isar1	sll0163	0.89589	0
isar1	sll1244	0.89589	0
isar1	slr2053	0.89589	0
isar1	sll0646	0.89534	0
isar1	slr1505	0.89534	0
psrr1	slr1874	0.89479	0
psrr1	sll1866	0.89424	0
psrr1	slr1591	0.89424	0
psrr1	slr2107	0.89424	0
isar1	slr0864	0.89369	0
psrr1	sll1056	0.89369	0
psrr1	sll1407	0.89369	0
psrr1	sll1681	0.89369	0
psrr1	slr0640	0.89369	0
isar1	sll1359	0.89314	0
isar1	slr0152	0.89314	0
isar1	sll0518	0.89258	0
isar1	slr0884	0.89258	0
psrr1	sll0684	0.89258	0
psrr1	sll1716	0.89258	0
isar1	sll0220	0.89202	0
psrr1	slr1557	0.89202	0
isar1	slr1384	0.89146	0
isar1	slr2026	0.89146	0
psrr1	sll0461	0.89146	0
psrr1	slr0703	0.89146	0
isar1	sll1144	0.8909	0
isar1	slr0651	0.8909	0
isar1	slr1676	0.8909	0
psrr1	sll0071	0.8909	0
psrr1	sll0656	0.8909	0
psrr1	slr1449	0.8909	0
isar1	sll1228	0.89033	0
isar1	sll1369	0.89033	0
psrr1	sll0487	0.89033	0
psrr1	slr1753	0.89033	0
isar1	slr0909	0.88976	0
isar1	slr1777	0.88976	0
psrr1	slr1293	0.88976	0
isar1	slr0869	0.88919	0
psrr1	sll1787	0.88919	0
psrr1	sll0270	0.88862	0
psrr1	sll1138	0.88862	0
isar1	sll0547	0.88805	0
psrr1	slr0787	0.88805	0
isar1	sll1314	0.88747	0
psrr1	sll0723	0.88747	0
psrr1	sll0815	0.88747	0
psrr1	slr0007	0.88747	0
psrr1	slr0300	0.88747	0
psrr1	slr1143	0.88747	0
psrr1	slr1932	0.88747	0
isar1	sll1024	0.88689	0
psrr1	slr0293	0.88689	0
isar1	sll1429	0.88631	0
isar1	sll0443	0.88572	0
psrr1	slr1474	0.88572	0
isar1	slr0434	0.88514	0
isar1	slr2081	0.88514	0
psrr1	sll0037	0.88514	0
psrr1	sll0329	0.88514	0
psrr1	slr1705	0.88514	0
isar1	slr0993	0.88455	0
psrr1	slr0018	0.88455	0
psrr1	slr0864	0.88455	0
isar1	sll1394	0.88396	0
psrr1	sll0564	0.88396	0
psrr1	slr0417	0.88396	0
psrr1	slr1369	0.88396	0
psrr1	ssl3573	0.88396	0
isar1	sll1290	0.88336	0
isar1	slr0940	0.88336	0
psrr1	sll0635	0.88336	0
psrr1	sll1232	0.88336	0
psrr1	sll1304	0.88336	0
psrr1	slr0730	0.88336	0
psrr1	slr1081	0.88336	0
psrr1	slr1927	0.88336	0
isar1	ssl0353	0.88277	0
isar1	ssr2194	0.88277	0
isar1	ssr2551	0.88277	0
psrr1	sll1662	0.88277	0
psrr1	ssl1920	0.88277	0
psrr1	sll0732	0.88217	0
psrr1	sll0865	0.88217	0
psrr1	slr0316	0.88217	0
psrr1	slr1945	0.88217	0
isar1	sll0631	0.88096	0
isar1	sll0993	0.88096	0
psrr1	sll1631	0.88096	0
psrr1	slr1257	0.88096	0
isar1	slr1812	0.88036	0
isar1	slr1935	0.88036	0
psrr1	sll1144	0.88036	0
psrr1	sll1703	0.88036	0
psrr1	slr0288	0.88036	0
psrr1	slr1903	0.88036	0
psrr1	slr2098	0.88036	0
isar1	sll0729	0.87975	0
psrr1	sll1573	0.87975	0
isar1	slr0612	0.87914	0
isar1	slr1413	0.87914	0
isar1	slr1934	0.87914	0
psrr1	sll1732	0.87914	0
psrr1	slr1208	0.87914	0
isar1	sll1354	0.87853	0
isar1	slr1385	0.87853	0
isar1	slr1691	0.87853	0
isar1	ssl2823	0.87853	0
psrr1	slr1949	0.87853	0
isar1	sll1949	0.87791	0
psrr1	sll1968	0.87791	0
psrr1	slr0797	0.87791	0
psrr1	slr1843	0.87791	0
psrr1	slr2136	0.87791	0
isar1	slr2000	0.87729	0
psrr1	sll1537	0.87729	0
psrr1	slr0070	0.87729	0
psrr1	sll0045	0.87667	0
psrr1	slr0883	0.87667	0
isar1	sll0478	0.87605	0
psrr1	sll0225	0.87605	0
psrr1	sll0533	0.87605	0
psrr1	sll0567	0.87605	0
isar1	sll1423	0.87543	0
psrr1	sll0156	0.87543	0
psrr1	slr0554	0.87543	0
psrr1	slr0557	0.87543	0
psrr1	slr1566	0.87543	0
isar1	sll1076	0.8748	0
psrr1	sll0149	0.8748	0
isar1	slr1031	0.87417	0
isar1	ssr2806	0.87417	0
psrr1	slr0380	0.87417	0
psrr1	slr0707	0.87417	0
psrr1	slr0710	0.87417	0
psrr1	slr0949	0.87417	0
psrr1	slr1881	0.87417	0
isar1	slr0969	0.87354	0
psrr1	sll0741	0.87354	0
isar1	sll1120	0.8729	0
psrr1	sll1871	0.8729	0
isar1	sll0501	0.87226	0
isar1	sll1135	0.87226	0
psrr1	sll0915	0.87226	0
psrr1	sll1280	0.87226	0
psrr1	sll1655	0.87226	0
psrr1	slr0453	0.87226	0
psrr1	slr1727	0.87226	0
psrr1	slr1147	0.87163	0
isar1	sll0380	0.87098	0
isar1	slr0495	0.87098	0
isar1	slr0713	0.87098	0
isar1	slr1844	0.87098	0
psrr1	slr1197	0.87098	0
psrr1	slr1306	0.87098	0
psrr1	slr1467	0.87098	0
isar1	sll0524	0.87034	0
psrr1	sll1202	0.87034	0
psrr1	sll1682	0.87034	0
psrr1	sll1764	0.87034	0
psrr1	slr1743	0.87034	0
isar1	ssl0483	0.86969	0
psrr1	sll0248	0.86969	0
psrr1	sll0936	0.86969	0
psrr1	sll1994	0.86969	0
psrr1	slr0020	0.86969	0
psrr1	slr1959	0.86969	0
isar1	sll1041	0.86839	0
isar1	slr1753	0.86839	0
psrr1	sll0222	0.86839	0
psrr1	slr1523	0.86839	0
isar1	slr2044	0.86774	0
psrr1	slr0067	0.86774	0
psrr1	slr1316	0.86774	0
psrr1	slr1344	0.86774	0
psrr1	slr1729	0.86774	0
isar1	ssr0817	0.86708	0
psrr1	sll0443	0.86708	0
psrr1	sll0765	0.86708	0
psrr1	slr1863	0.86708	0
isar1	sll0169	0.86642	0
isar1	sll0274	0.86642	0
isar1	slr0063	0.86642	0
isar1	slr0454	0.86642	0
isar1	ssr1407	0.86642	0
psrr1	slr0350	0.86642	0
isar1	sll1353	0.86576	0
isar1	slr0323	0.86576	0
psrr1	sll0371	0.86576	0
psrr1	slr0156	0.86576	0
psrr1	slr0341	0.86576	0
isar1	slr1522	0.86509	0
psrr1	slr1285	0.86509	0
psrr1	slr1472	0.86509	0
isar1	sll1501	0.86442	0
psrr1	sll0812	0.86442	0
psrr1	slr0927	0.86442	0
psrr1	slr0977	0.86442	0
isar1	sll1036	0.86376	0
isar1	slr0656	0.86376	0
psrr1	sll0368	0.86376	0
psrr1	sll0396	0.86241	0
psrr1	sll1004	0.86241	0
psrr1	sll1060	0.86241	0
psrr1	slr1246	0.86241	0
psrr1	slr1901	0.86241	0
isar1	slr1133	0.86173	0
psrr1	slr1990	0.86173	0
isar1	sll1242	0.86037	0
psrr1	sll2008	0.86037	0
psrr1	slr0077	0.86037	0
psrr1	slr1634	0.86037	0
isar1	sll0709	0.85968	0
isar1	slr0399	0.85968	0
isar1	slr0758	0.85968	0
isar1	slr0883	0.85968	0
psrr1	sll1120	0.85968	0
psrr1	slr0143	0.85968	0
psrr1	slr0509	0.85831	0
psrr1	slr0896	0.85831	0
psrr1	slr1342	0.85831	0
isar1	sll0839	0.85761	0
psrr1	slr1916	0.85761	0
isar1	sll1124	0.85692	0
isar1	slr1541	0.85692	0
psrr1	slr1163	0.85622	0
psrr1	sll0606	0.85552	0
psrr1	sll1710	0.85552	0
psrr1	sll1160	0.85482	0
psrr1	slr0051	0.85411	0
psrr1	slr0819	0.85411	0
isar1	sll0222	0.8534	0
isar1	sll1283	0.8534	0
isar1	slr0347	0.8534	0
isar1	slr1704	0.8534	0
psrr1	sll1905	0.8534	0
isar1	slr0670	0.85269	0
isar1	slr1106	0.85269	0
isar1	slr1686	0.85269	0
psrr1	slr0265	0.85269	0
isar1	sll0669	0.85198	0
isar1	slr1265	0.85198	0
isar1	slr1764	0.85198	0
isar1	sll1775	0.85127	0
isar1	slr1849	0.85127	0
psrr1	sll1053	0.85127	0
psrr1	sll1477	0.85127	0
psrr1	slr0938	0.85127	0
psrr1	slr1233	0.85127	0
isar1	slr0848	0.85055	0
isar1	slr1353	0.85055	0
psrr1	slr0738	0.85055	0
psrr1	slr1435	0.85055	0
isar1	sll0887	0.84983	0
isar1	slr0731	0.84983	0
psrr1	sll0782	0.84983	0
