sRNA	mRNA	CopraRNA_Score	Class
fnrs	yaaa	0.99982	0
fnrs	ytfp	0.99982	0
gcvb	lrp	0.99982	0
oxys	hypd	0.99982	0
rpra	flie	0.99982	0
rpra	hflc	0.99982	0
spf	bioa	0.99982	0
mica	prc	0.99981	0
rpra	yfhl	0.99981	0
mcas	ygjq	0.9998	0
micc	cher	0.9998	0
micf	hofq	0.9998	0
omra	yidr	0.9998	0
rpra	fadb	0.9998	0
spf	ddpa	0.9998	0
cyar	fadj	0.99979	0
fnrs	yegw	0.99979	0
gcvb	acs	0.99979	0
gcvb	rpsi	0.99979	0
glmz	yhaj	0.99979	0
istr	nrde	0.99979	0
omrb	rnc	0.99979	0
rpra	ghxp	0.99979	0
spf	aat	0.99979	0
spf	fumb	0.99979	0
spf	hflk	0.99979	0
spf	trmd	0.99979	0
gcvb	mnme	0.99978	0
micc	malg	0.99978	0
micf	mgrb	0.99978	0
omra	yfer	0.99978	0
rsex	yccm	0.99977	0
spf	acea	0.99977	0
mcas	prc	0.99976	0
mcas	yjir	0.99976	0
mica	rlud	0.99976	0
dsra	sgbe	0.99975	0
mcas	galk	0.99975	0
rpra	yhev	0.99975	0
rybb	hupa	0.99975	0
arcz	oppb	0.99974	0
fnrs	daua	0.99974	0
spf	rffh	0.99974	0
chix	csgd	0.99973	0
fnrs	yeib	0.99973	0
gcvb	dppa	0.99973	1
cyar	nudl	0.99972	0
glmz	plda	0.99972	0
omra	clps	0.99972	0
ryhb	rrab	0.99972	0
fnrs	glpf	0.99971	0
gcvb	pykf	0.99971	0
mcas	mdte	0.99971	0
dsra	ulac	0.9997	0
micc	mlab	0.9997	0
dsra	mgla	0.99969	0
fnrs	nagz	0.99969	1
gcvb	leub	0.99969	0
gcvb	ogrk	0.99969	0
omrb	yebe	0.99969	0
ryhb	dmsa	0.99969	0
arcz	ycfj	0.99968	0
fnrs	argh	0.99968	0
fnrs	fimi	0.99968	0
mica	yfcd	0.99968	0
micf	hypb	0.99968	0
omrb	zrar	0.99968	0
ryhb	meth	0.99968	0
spf	aldb	0.99968	0
fnrs	yfgm	0.99967	0
glmz	clpx	0.99967	0
mcas	ycam	0.99967	0
mica	lamb	0.99967	1
rybb	phoh	0.99967	0
spf	gudp	0.99967	0
istr	arad	0.99966	0
mcas	rnha	0.99966	0
mica	glya	0.99966	0
rpra	yeah	0.99966	0
spf	pure	0.99966	0
arcz	hish	0.99965	0
cyar	hisq	0.99965	0
cyar	yhcb	0.99965	0
fnrs	adhp	0.99965	0
fnrs	pepq	0.99965	0
glmz	amtb	0.99965	0
omra	csgd	0.99965	1
spf	pncc	0.99965	0
spf	prpc	0.99965	0
cyar	metq	0.99964	0
micf	moba	0.99964	0
omra	lldp	0.99964	0
omra	lsrg	0.99964	0
sgrs	aaex	0.99964	0
cyar	lgt	0.99963	0
dsra	envy	0.99963	0
rybb	prib	0.99963	0
spf	icd	0.99963	1
spf	prmc	0.99962	0
mcas	yqjd	0.99961	0
omrb	ynbd	0.99961	0
glmz	fepa	0.9996	0
rpra	hded	0.9996	0
rybb	glmm	0.9996	0
rybb	nagz	0.9996	0
rydc	rplo	0.9996	0
cyar	ydik	0.99959	0
glmz	male	0.99959	0
mica	cydc	0.99959	0
micc	glga	0.99959	0
rpra	sula	0.99959	0
fnrs	glga	0.99958	0
fnrs	recg	0.99958	0
gcvb	acrb	0.99958	0
glmz	topa	0.99958	0
rydc	nagk	0.99958	0
istr	reco	0.99957	0
micf	smrb	0.99957	0
rpra	tsga	0.99957	0
ryhb	ydcj	0.99957	0
ryhb	ydhf	0.99957	0
spf	uxac	0.99957	0
arcz	yhbp	0.99956	0
chix	ybjl	0.99956	0
dsra	mtfa	0.99956	0
micc	pric	0.99956	0
spf	uhpa	0.99956	0
arcz	agav	0.99955	0
gcvb	aroc	0.99955	0
micc	yhde	0.99955	0
omra	aat	0.99955	0
spf	mscl	0.99955	0
istr	gale	0.99954	0
mica	dusc	0.99954	0
spf	mcrb	0.99954	0
spf	rpsg	0.99954	0
spf	yidk	0.99954	0
arcz	ydik	0.99953	0
fnrs	malk	0.99953	0
fnrs	nuok	0.99953	0
spf	waaz	0.99953	0
arcz	nuoc	0.99952	0
cyar	bioh	0.99952	0
cyar	mglc	0.99952	0
fnrs	zapd	0.99952	0
gcvb	pepn	0.99952	0
glmz	ulag	0.99952	0
mcas	apah	0.99952	0
mica	ompa	0.99952	1
omra	yjch	0.99952	0
spf	cadc	0.99952	0
cyar	sohb	0.99951	0
dsra	rcsb	0.99951	0
dsra	ybit	0.99951	0
dsra	stha	0.9995	0
fnrs	smrb	0.9995	0
omra	sola	0.9995	0
rpra	yfcl	0.9995	0
spf	chea	0.9995	0
spf	phet	0.9995	0
micc	djla	0.99949	0
micf	wza	0.99949	0
omra	ygfi	0.99949	0
rpra	nrfa	0.99949	0
istr	mnmc	0.99948	0
omrb	arsr	0.99948	0
cyar	livm	0.99947	0
mcas	mhpd	0.99947	0
micc	skp	0.99947	0
rpra	gcvt	0.99947	0
dsra	mlic	0.99946	0
istr	metc	0.99946	0
rpra	pyri	0.99946	0
sgrs	pgsa	0.99946	0
spf	glnh	0.99946	0
fnrs	yfey	0.99945	0
mcas	degp	0.99945	0
mcas	yegd	0.99945	0
spf	ascf	0.99945	0
mica	uup	0.99944	0
omra	nhaa	0.99944	0
sgrs	purl	0.99944	0
fnrs	ompc	0.99943	0
micc	yieh	0.99943	0
rydc	ytfb	0.99943	0
sgrs	yhjj	0.99943	0
fnrs	guaa	0.99942	0
micf	hsds	0.99942	0
gcvb	crp	0.99941	0
gcvb	flim	0.99941	0
istr	tsf	0.99941	0
rpra	yfec	0.9994	0
sgrs	yici	0.9994	0
spf	yiep	0.9994	0
cyar	yeaq	0.99939	0
fnrs	nagk	0.99939	0
micf	gltl	0.99938	0
oxys	rpln	0.99938	0
rsex	rffh	0.99938	0
ryhb	frda	0.99938	0
gcvb	metc	0.99937	0
mcas	mnmg	0.99937	0
mcas	ssua	0.99937	0
oxys	rpsi	0.99937	0
rybb	skp	0.99936	0
rybb	viaa	0.99936	0
chix	znua	0.99935	0
dsra	oppc	0.99935	0
istr	enth	0.99935	0
omrb	yjch	0.99935	0
rybb	acps	0.99935	0
spf	nant	0.99935	0
mica	ygfb	0.99934	0
rpra	yrfg	0.99934	0
cyar	livg	0.99933	0
rpra	yegd	0.99933	0
ryhb	sece	0.99933	0
spf	yijd	0.99933	0
cyar	gale	0.99932	0
fnrs	frwc	0.99932	0
gcvb	ydij	0.99932	0
glmz	acee	0.99932	0
rybb	oppf	0.99932	0
dsra	iscr	0.99931	0
dsra	rhlb	0.99931	0
gcvb	nhab	0.99931	0
omra	ycia	0.99931	0
omra	ytfr	0.99931	0
rpra	pspb	0.99931	0
cyar	mlc	0.9993	0
omrb	purb	0.9993	0
omrb	ybdg	0.9993	0
omrb	yece	0.9993	0
sgrs	osme	0.9993	0
sgrs	ptsg	0.9993	1
istr	osmc	0.99929	0
omra	ispd	0.99929	0
istr	araf	0.99928	0
istr	yhbs	0.99928	0
mcas	ugpa	0.99928	0
rybb	yicj	0.99928	0
cyar	yrbg	0.99927	0
fnrs	fes	0.99927	0
gcvb	ydda	0.99927	0
dsra	yhgn	0.99926	0
gcvb	yqge	0.99926	0
micc	tatb	0.99926	0
omra	ygiv	0.99926	0
rybb	hipb	0.99926	0
fnrs	quee	0.99925	0
gcvb	ilvc	0.99924	0
glmz	moeb	0.99924	0
istr	csda	0.99924	0
micc	bamb	0.99924	0
rybb	hipa	0.99924	0
spf	beti	0.99924	0
spf	puue	0.99924	0
arcz	uraa	0.99923	0
dsra	thig	0.99923	0
gcvb	acph	0.99923	0
istr	tas	0.99923	0
micc	ydae	0.99923	0
mcas	gpsa	0.99922	0
arcz	yejb	0.99921	0
mcas	pure	0.99921	0
rybb	ygim	0.99921	0
ryhb	mara	0.99921	1
arcz	fepd	0.9992	0
cyar	eama	0.9992	0
micf	sbcb	0.9992	0
dsra	norw	0.99919	0
micc	ychh	0.99919	0
rybb	rpoe	0.99919	0
rybb	yiaj	0.99919	0
spf	yhdj	0.99919	0
cyar	meth	0.99918	0
mcas	dcud	0.99918	0
cyar	chac	0.99917	0
cyar	yehx	0.99917	0
dsra	acps	0.99917	0
dsra	ygdg	0.99917	0
omrb	slya	0.99917	0
ryhb	lpxa	0.99917	0
sgrs	hyce	0.99917	0
spf	trmh	0.99917	0
dsra	yqcc	0.99916	0
istr	djla	0.99915	0
sgrs	argi	0.99915	0
spf	aroe	0.99915	0
istr	dppd	0.99914	0
mica	cuta	0.99914	0
micf	metl	0.99913	0
spf	mglb	0.99912	0
rpra	ppib	0.99911	0
cyar	mug	0.9991	0
micc	raia	0.9991	0
micf	csra	0.9991	0
micf	yijd	0.9991	0
sgrs	rlmf	0.9991	0
spf	ycjn	0.9991	0
ryhb	recc	0.99909	0
spf	ygbn	0.99909	0
fnrs	yiep	0.99907	0
omrb	aat	0.99907	0
oxys	mete	0.99907	0
cyar	ugpb	0.99906	0
spf	cusb	0.99906	0
dsra	dapd	0.99905	0
dsra	rsfs	0.99905	0
mica	phoe	0.99905	0
glmz	yheu	0.99904	0
rpra	kup	0.99904	0
istr	yhhl	0.99903	0
fnrs	dapf	0.99902	0
fnrs	entc	0.99902	0
rybb	atpg	0.99902	0
rybb	yjhu	0.99902	0
micc	rsea	0.99901	0
omrb	dgka	0.99901	0
arcz	nuof	0.999	0
mica	entd	0.999	0
micf	yjbj	0.999	0
omrb	gyra	0.999	0
fnrs	napd	0.99899	0
istr	trud	0.99899	0
rybb	atpc	0.99899	0
sgrs	malg	0.99899	0
gcvb	yebz	0.99898	0
micf	cydb	0.99898	0
omrb	yfhl	0.99898	0
ryhb	fade	0.99898	0
fnrs	fadm	0.99897	0
fnrs	ybgp	0.99897	0
cyar	poti	0.99896	0
fnrs	mepm	0.99896	0
glmz	arsb	0.99896	0
cyar	degq	0.99894	0
gcvb	ddla	0.99894	0
istr	ruvb	0.99894	0
spf	glpf	0.99894	0
dsra	wcab	0.99893	0
fnrs	fusa	0.99893	0
mcas	sodc	0.99893	0
rpra	lamb	0.99893	0
spf	mdla	0.99893	0
omrb	nhaa	0.99892	0
oxys	grxa	0.99892	0
spf	yhhq	0.99892	0
cyar	yadh	0.99891	0
spf	tam	0.99891	0
fnrs	maea	0.9989	1
istr	fhuc	0.9989	0
rsex	fimb	0.99889	0
arcz	eute	0.99888	0
cyar	ptsp	0.99888	0
istr	ybjt	0.99887	0
omra	yeig	0.99887	0
fnrs	leuo	0.99886	0
fnrs	yjeh	0.99886	0
omra	ykgj	0.99886	0
cyar	ygid	0.99885	0
gcvb	rplt	0.99885	0
spf	usg	0.99885	0
spf	ydhp	0.99885	0
arcz	topb	0.99884	0
ryhb	hda	0.99884	0
sgrs	yhht	0.99884	0
glmz	rffh	0.99883	0
spf	ycia	0.99883	0
chix	mntr	0.99882	0
cyar	dppb	0.99882	0
fnrs	sfsb	0.99882	0
istr	dppf	0.99882	0
micc	pyre	0.99882	0
spf	yggx	0.99882	0
arcz	hsca	0.99881	0
istr	hofo	0.99881	0
cyar	lpxt	0.9988	0
glmz	ubie	0.9988	0
spf	faba	0.9988	0
spf	fliz	0.99879	0
cyar	rcsb	0.99878	0
fnrs	ybfa	0.99878	0
omrb	trxc	0.99878	0
spf	gyrb	0.99878	0
spf	ppsa	0.99878	0
cyar	infa	0.99877	0
omrb	zint	0.99877	0
spf	agac	0.99877	0
cyar	cutc	0.99876	0
rpra	tsad	0.99876	0
rybb	macb	0.99876	0
rybb	yjbj	0.99876	0
rybb	purm	0.99875	0
dsra	moeb	0.99874	0
gcvb	guab	0.99874	0
omra	rcnb	0.99874	0
omrb	emry	0.99874	0
ryhb	mena	0.99874	0
istr	purh	0.99873	0
micc	dppd	0.99872	0
micf	metn	0.99872	0
oxys	meps	0.99872	0
glmz	glga	0.99871	0
ryhb	sdhd	0.99871	1
glmz	ybel	0.9987	0
istr	ribd	0.9987	0
istr	yciv	0.9987	0
micc	ycio	0.9987	0
rpra	tktb	0.9987	0
cyar	nlpd	0.99867	0
spf	astc	0.99867	0
dsra	quea	0.99866	0
cyar	yagu	0.99865	0
glmz	ynfc	0.99864	0
omra	mtla	0.99864	0
oxys	fief	0.99864	0
rpra	rssb	0.99864	0
fnrs	yghu	0.99863	0
micc	phea	0.99863	0
ryhb	ypfn	0.99863	0
dsra	rpoe	0.99862	0
gcvb	arop	0.99862	0
mica	phob	0.99862	0
omrb	mrca	0.99862	0
arcz	ybhf	0.99861	0
dsra	atoa	0.99861	0
cyar	rlml	0.9986	0
gcvb	glna	0.9986	0
rpra	pta	0.9986	0
gcvb	serb	0.99859	0
omra	mrca	0.99859	0
omrb	dxr	0.99859	0
rydc	tamb	0.99859	0
arcz	rssa	0.99858	0
fnrs	cspd	0.99858	0
mcas	nika	0.99858	0
micf	yabi	0.99858	0
cyar	kdpa	0.99857	0
cyar	ybjm	0.99857	0
dsra	rplv	0.99857	0
gcvb	kate	0.99857	0
gcvb	waao	0.99857	0
istr	rplt	0.99857	0
micc	yaep	0.99856	0
omrb	ydie	0.99856	0
rybb	livk	0.99856	0
rydc	glnb	0.99856	0
omra	glmm	0.99855	0
arcz	yajl	0.99854	0
chix	opgg	0.99853	0
cyar	tar	0.99852	0
glmz	ahr	0.99852	0
rybb	yhhn	0.99852	0
glmz	yiis	0.99851	0
micf	pyri	0.99851	0
istr	deod	0.9985	0
rybb	miab	0.9985	0
mica	fhua	0.99849	0
spf	rsmd	0.99849	0
fnrs	acka	0.99848	0
glmz	tsad	0.99848	0
mica	amic	0.99848	0
arcz	flip	0.99846	0
mica	ldte	0.99846	0
rybb	yjeh	0.99846	0
arcz	ybjn	0.99845	0
mica	hupb	0.99845	0
fnrs	rava	0.99843	0
gcvb	trec	0.99843	0
istr	sodc	0.99843	0
rsex	ppsr	0.99843	0
arcz	csta	0.99842	0
arcz	sufe	0.99842	0
istr	chbg	0.99842	0
rsex	idnd	0.99842	0
ryhb	gss	0.99842	0
arcz	rsmc	0.99841	0
cyar	ftna	0.99841	0
dsra	tyrs	0.99841	0
mcas	purr	0.99841	0
rpra	yjjz	0.99841	0
spf	nfo	0.99841	0
oxys	btud	0.9984	0
rsex	glgx	0.9984	0
arcz	cyse	0.99839	0
omra	bass	0.99839	0
rpra	glti	0.99839	0
micc	mure	0.99838	0
rydc	deda	0.99838	0
spf	alpa	0.99837	0
cyar	mukf	0.99836	0
dsra	erpa	0.99836	0
gcvb	hisp	0.99836	0
gcvb	rbn	0.99836	0
istr	gspl	0.99835	0
rybb	chac	0.99835	0
omrb	ycia	0.99834	0
rpra	ptra	0.99833	0
rpra	yhjj	0.99833	0
arcz	chew	0.99832	0
gcvb	daca	0.99832	0
mcas	yfip	0.99832	0
micc	dapd	0.99832	0
rybb	gyra	0.99832	0
dsra	muts	0.99831	0
istr	infb	0.99831	0
micf	murc	0.99831	0
omra	ybdg	0.99831	0
spf	lyss	0.9983	0
arcz	rpst	0.99829	0
arcz	trml	0.99829	0
sgrs	ugpb	0.99829	0
spf	dbpa	0.99829	0
cyar	lolb	0.99828	0
glmz	yfhl	0.99828	0
istr	cobb	0.99828	0
omra	metj	0.99828	0
omrb	sdaa	0.99828	0
cyar	dppd	0.99826	0
cyar	ygcu	0.99826	0
mica	hisq	0.99826	0
glmz	uspb	0.99825	0
sgrs	ygib	0.99825	0
fnrs	yjab	0.99824	0
gcvb	syme	0.99824	0
ryhb	cobs	0.99824	0
spf	rpsq	0.99824	0
cyar	mukb	0.99823	0
rybb	ftsn	0.99822	0
rybb	moae	0.99822	0
dsra	ybed	0.99821	0
istr	tada	0.99821	0
rpra	dmlr	0.99821	0
ryhb	ssb	0.99821	0
chix	acna	0.9982	0
gcvb	hyab	0.9982	0
gcvb	plsy	0.99819	0
sgrs	era	0.99819	0
micc	gmk	0.99818	0
cyar	ydgc	0.99817	0
cyar	ansb	0.99816	0
fnrs	rpmi	0.99816	0
fnrs	yoae	0.99816	0
mica	wcaj	0.99816	0
micc	yiaj	0.99816	0
omrb	xylh	0.99816	0
rybb	sfsb	0.99816	0
fnrs	yfcl	0.99815	0
omra	yjjg	0.99815	0
oxys	yegu	0.99815	0
rydc	yhdj	0.99815	0
ryhb	sers	0.99815	0
sgrs	yhin	0.99815	0
rpra	fold	0.99814	0
arcz	ytfr	0.99813	0
fnrs	yggt	0.99813	0
mcas	ybel	0.99813	0
omra	yrfg	0.99813	0
rpra	cyse	0.99813	0
dsra	ytfr	0.99812	0
fnrs	atos	0.99812	0
spf	lptc	0.99812	0
glmz	ccmf	0.99811	0
glmz	gark	0.99811	0
omra	ompr	0.99811	1
istr	purd	0.9981	0
omrb	flik	0.9981	0
cyar	prc	0.99809	0
dsra	cra	0.99809	0
mica	cite	0.99809	0
micc	meti	0.99809	0
omra	yhbe	0.99809	0
rybb	trmj	0.99809	0
arcz	purt	0.99808	0
ryhb	nlpi	0.99808	0
sgrs	ftsp	0.99808	0
chix	zapa	0.99807	0
cyar	cspc	0.99807	0
cyar	wcal	0.99807	0
fnrs	cysi	0.99807	0
gcvb	ybel	0.99807	0
cyar	ygiw	0.99805	0
fnrs	gabd	0.99805	0
rpra	deor	0.99805	0
glmz	torr	0.99804	0
rydc	hupa	0.99804	0
fnrs	speg	0.99803	0
fnrs	yccx	0.99803	0
mica	flgi	0.99803	0
rybb	cspc	0.99803	0
micf	ptra	0.99802	0
rpra	yfch	0.99802	0
arcz	rpoe	0.99801	0
glmz	mure	0.99801	0
spf	araf	0.99801	0
micc	thii	0.998	0
glmz	chez	0.99799	0
mcas	ydhl	0.99799	0
micf	maea	0.99799	0
rpra	baca	0.99799	0
rpra	rof	0.99799	0
sgrs	panb	0.99799	0
arcz	ccme	0.99798	0
gcvb	hole	0.99796	0
omra	frlr	0.99796	0
dsra	yhak	0.99795	0
gcvb	ydhb	0.99793	0
istr	nuoc	0.99793	0
omrb	ypja	0.99793	0
rybb	yccm	0.99793	0
ryhb	ycgn	0.99793	0
arcz	mine	0.99791	0
arcz	mred	0.9979	0
mica	ssue	0.9979	0
micc	puuc	0.9979	0
arcz	dedd	0.99789	0
gcvb	artj	0.99789	0
omrb	murq	0.99789	0
dsra	kdpe	0.99788	0
micc	mraz	0.99788	0
ryhb	acps	0.99788	0
rybb	yccx	0.99787	0
arcz	fole	0.99786	0
cyar	tolb	0.99786	0
glmz	dgt	0.99786	0
istr	rpld	0.99786	0
rsex	zras	0.99786	0
sgrs	rnhb	0.99786	0
arcz	rsmh	0.99785	0
mcas	yfaz	0.99785	0
mica	flig	0.99785	0
omrb	yobb	0.99785	0
rybb	idnk	0.99785	0
fnrs	cmk	0.99784	0
istr	ispf	0.99784	0
istr	thid	0.99784	0
mica	ascg	0.99784	0
omrb	glmm	0.99784	0
rydc	tag	0.99784	0
ryhb	yhde	0.99784	0
rybb	slyd	0.99783	0
cyar	hycd	0.99782	0
omra	speb	0.99782	0
arcz	atoa	0.99781	0
cyar	frwb	0.99781	0
rsex	ubia	0.99781	0
rybb	hofq	0.99781	0
dsra	elbb	0.9978	0
mcas	ybhf	0.9978	0
rybb	ribc	0.9978	0
arcz	znub	0.99779	0
arcz	djla	0.99777	0
micc	osmc	0.99777	0
omrb	psts	0.99777	0
spf	acnb	0.99777	0
spf	yajg	0.99776	0
cyar	nhar	0.99775	0
cyar	glrk	0.99774	0
cyar	glxr	0.99774	0
mcas	bass	0.99774	0
rsex	ycig	0.99774	0
chix	fdni	0.99773	0
dsra	fepb	0.99773	0
dsra	mscm	0.99773	0
micc	dcua	0.99773	0
oxys	ychh	0.99773	0
rybb	nusa	0.99773	0
omra	yedf	0.99772	0
sgrs	mfd	0.99772	0
mcas	nuoh	0.99771	0
oxys	cspc	0.99771	0
rsex	yjdi	0.99771	0
rydc	rpmj	0.99771	0
gcvb	wecc	0.9977	0
oxys	yicn	0.9977	0
rpra	guab	0.9977	0
rybb	livj	0.9977	0
gcvb	yfdk	0.99769	0
omra	infb	0.99769	0
gcvb	metf	0.99768	0
rpra	clps	0.99768	0
rybb	nagk	0.99768	0
dsra	pyrg	0.99767	0
spf	sseb	0.99767	0
fnrs	gluq	0.99766	0
omrb	yeig	0.99766	0
ryhb	gpp	0.99766	0
spf	yihq	0.99766	0
omrb	ompr	0.99765	1
rybb	rfbd	0.99765	0
arcz	aspa	0.99764	0
arcz	ynee	0.99764	0
spf	dsbd	0.99762	0
arcz	ccmd	0.99761	0
istr	pfkb	0.99761	0
omra	gpp	0.99761	0
chix	mfd	0.9976	0
sgrs	tesa	0.9976	0
fnrs	rplb	0.99759	0
mica	eute	0.99759	0
mica	yphh	0.99759	0
micc	ppdb	0.99757	0
fnrs	elfc	0.99756	0
rydc	yedr	0.99756	0
micf	yhev	0.99755	0
omrb	mhpt	0.99755	0
rydc	yqgc	0.99755	0
fnrs	ybam	0.99754	0
cyar	aega	0.99753	0
dsra	yhjj	0.99753	0
fnrs	yjbb	0.99752	0
omrb	prfb	0.99752	0
rpra	ddpa	0.99751	0
fnrs	pyrc	0.9975	0
glmz	cpsb	0.99749	0
mica	tig	0.99749	0
omrb	tisb	0.99749	0
sgrs	livm	0.99749	0
arcz	ugpa	0.99748	0
omra	yadh	0.99748	0
istr	sfmc	0.99747	0
micc	rffh	0.99747	0
rybb	ybfa	0.99747	0
spf	trpr	0.99747	0
arcz	flha	0.99746	0
omra	zapc	0.99746	0
rsex	mlaf	0.99745	0
rsex	nike	0.99745	0
mcas	mtla	0.99744	0
mica	fada	0.99744	0
rpra	yiao	0.99744	0
rybb	clps	0.99744	0
spf	melb	0.99743	0
micc	thig	0.99742	0
gcvb	zitb	0.99741	0
rsex	torr	0.99741	0
sgrs	prpb	0.99741	0
arcz	yfcd	0.99739	0
micc	metc	0.99739	0
omrb	cspa	0.99739	0
omrb	yedf	0.99739	0
arcz	hycf	0.99738	0
spf	napc	0.99737	0
mcas	yijo	0.99736	0
rpra	cysn	0.99736	0
rybb	djla	0.99736	0
