sRNA	mRNA	Score	Class
gcvb	pm_rs00160	0.96054	0
gcvb	pm_rs01035	0.96031	0
gcvb	pm_rs08200	0.96	0
gcvb	pm_rs06685	0.95967	0
gcvb	pm_rs06470	0.95949	0
gcvb	pm_rs07130	0.95829	0
gcvb	ubib	0.95738	0
gcvb	pm_rs05145	0.95636	0
gcvb	pm_rs06650	0.95545	0
gcvb	pm_rs03600	0.95463	0
gcvb	pm_rs00970	0.95345	0
gcvb	pm_rs03700	0.95283	0
gcvb	pm_rs06695	0.95269	0
gcvb	pm_rs09740	0.95203	0
gcvb	pm_rs09975	0.95148	0
gcvb	pm_rs10080	0.95144	0
gcvb	pm_rs01750	0.95126	0
gcvb	srle	0.94882	0
gcvb	pm_rs07340	0.94867	0
gcvb	pm_rs09760	0.9485	0
gcvb	pm_rs03585	0.94801	0
gcvb	pm_rs05655	0.94549	0
gcvb	pm_rs01970	0.94517	0
gcvb	pm_rs02780	0.94483	0
gcvb	pm_rs04635	0.9439	0
gcvb	lldd	0.94369	0
gcvb	pm_rs10180	0.94276	0
gcvb	pm_rs04320	0.94226	0
gcvb	pm_rs06515	0.9422	0
gcvb	pm_rs00190	0.94199	0
gcvb	pm_rs02175	0.94181	0
gcvb	pm_rs06425	0.94161	0
gcvb	pm_rs01355	0.94101	0
gcvb	pm_rs09885	0.9403	0
gcvb	pm_rs08435	0.93958	0
gcvb	pm_rs06800	0.93942	0
gcvb	pm_rs09010	0.93931	0
gcvb	pm_rs01130	0.93887	0
gcvb	pm_rs04495	0.93877	0
gcvb	pm_rs00685	0.93764	0
gcvb	pm_rs09810	0.93341	0
gcvb	pm_rs05110	0.93099	0
gcvb	pm_rs05780	0.93067	0
gcvb	pm_rs09590	0.93016	0
gcvb	pm_rs00825	0.92912	0
gcvb	pm_rs06510	0.92841	0
gcvb	pm_rs06735	0.92771	0
gcvb	pm_rs02720	0.92767	0
gcvb	pm_rs02755	0.92749	0
gcvb	pm_rs10250	0.92729	0
gcvb	pm_rs00900	0.92664	0
gcvb	pm_rs00470	0.92659	0
gcvb	pm_rs08450	0.92415	0
gcvb	pm_rs10310	0.92309	0
gcvb	pm_rs07620	0.92307	0
gcvb	pm_rs03800	0.92143	0
gcvb	pm_rs01705	0.92061	0
gcvb	pm_rs06360	0.92003	0
gcvb	pm_rs08115	0.91979	0
gcvb	pm_rs02525	0.91925	0
gcvb	pm_rs02485	0.91851	0
gcvb	pm_rs02235	0.9185	0
gcvb	pm_rs08730	0.91846	0
gcvb	pm_rs02810	0.91704	0
gcvb	pm_rs03435	0.91693	0
gcvb	pm_rs07445	0.91613	0
gcvb	pm_rs05990	0.91412	0
gcvb	pm_rs04280	0.9137	0
gcvb	pm_rs10105	0.91347	0
gcvb	pm_rs08160	0.913	0
gcvb	pm_rs10145	0.91236	0
gcvb	pm_rs03050	0.90933	0
gcvb	pm_rs07080	0.90894	0
gcvb	pm_rs10190	0.90812	0
gcvb	pm_rs06320	0.90686	0
gcvb	pm_rs05480	0.90635	0
gcvb	pm_rs01465	0.90602	0
gcvb	pm_rs06170	0.90601	0
gcvb	pm_rs10195	0.90575	0
gcvb	pm_rs06240	0.90402	1
gcvb	pm_rs00085	0.90373	0
gcvb	pm_rs07100	0.90327	0
gcvb	pm_rs07345	0.90325	0
gcvb	pm_rs03290	0.90267	0
gcvb	pm_rs09400	0.90093	0
gcvb	pm_rs09395	0.90032	0
gcvb	pm_rs04205	0.90011	0
gcvb	pm_rs02050	0.89968	0
gcvb	pm_rs02170	0.89949	0
gcvb	pm_rs03285	0.89904	0
gcvb	pm_rs02125	0.89828	0
gcvb	pm_rs01190	0.89798	0
gcvb	pm_rs03945	0.89769	0
gcvb	pm_rs03350	0.89751	0
gcvb	pm_rs06625	0.89729	0
gcvb	pm_rs09960	0.89623	0
gcvb	artm	0.89613	0
gcvb	pm_rs00040	0.89531	0
gcvb	pm_rs07075	0.89524	0
gcvb	pm_rs08305	0.8948	0
gcvb	pm_rs03030	0.89372	0
gcvb	pm_rs09670	0.89243	0
gcvb	pm_rs03855	0.8923	0
gcvb	pm_rs07430	0.89211	0
gcvb	pm_rs02005	0.89189	0
gcvb	pm_rs02155	0.89134	0
gcvb	pm_rs04070	0.89089	0
gcvb	pm_rs02285	0.89046	0
gcvb	pm_rs02690	0.89006	0
gcvb	pm_rs02835	0.89005	0
gcvb	pm_rs06970	0.88915	0
gcvb	pm_rs09110	0.88905	0
gcvb	pm_rs02775	0.88784	0
gcvb	pm_rs07995	0.88737	0
gcvb	pm_rs00495	0.88704	0
gcvb	pm_rs08320	0.88293	0
gcvb	pm_rs00815	0.8818	0
gcvb	pm_rs04675	0.88131	0
gcvb	pm_rs00805	0.87965	0
gcvb	pm_rs09300	0.87942	0
gcvb	pm_rs01720	0.87678	0
gcvb	pm_rs04490	0.87605	0
gcvb	pm_rs05230	0.87393	0
gcvb	pm_rs08385	0.87378	0
gcvb	pm_rs07560	0.87284	0
gcvb	pm_rs04040	0.87233	0
gcvb	pm_rs03510	0.87206	0
gcvb	pm_rs00215	0.87099	1
gcvb	pm_rs05270	0.87096	0
gcvb	pm_rs07000	0.87085	0
gcvb	pm_rs01625	0.87008	0
gcvb	pm_rs07725	0.87002	0
gcvb	pm_rs04165	0.86612	0
gcvb	usha	0.86596	0
gcvb	pm_rs08880	0.86593	0
gcvb	pm_rs07015	0.8654	0
gcvb	pm_rs01775	0.8653	0
gcvb	pm_rs10425	0.86385	0
gcvb	pm_rs08035	0.86358	0
gcvb	pm_rs00465	0.86161	0
gcvb	pm_rs02230	0.86158	0
gcvb	pm_rs03595	0.86053	0
gcvb	pm_rs09825	0.86007	0
gcvb	pm_rs06875	0.85988	0
gcvb	pm_rs04265	0.85957	0
gcvb	pm_rs08070	0.85929	0
gcvb	pm_rs02190	0.85905	0
gcvb	pm_rs09015	0.85889	0
gcvb	pm_rs09655	0.8588	0
gcvb	pm_rs08300	0.8587	0
gcvb	pm_rs04125	0.85808	0
gcvb	pm_rs05300	0.85802	0
gcvb	pm_rs09745	0.85727	0
gcvb	pm_rs06015	0.85661	0
gcvb	pm_rs05095	0.85654	0
gcvb	pm_rs00240	0.85645	0
gcvb	pm_rs00835	0.85636	0
gcvb	pm_rs09630	0.85611	0
gcvb	pm_rs09530	0.85567	0
gcvb	pm_rs04835	0.85482	0
gcvb	pm_rs04555	0.85427	0
gcvb	pm_rs07890	0.85359	0
gcvb	pm_rs10440	0.85354	0
gcvb	pm_rs09220	0.85343	0
gcvb	liga	0.85332	0
gcvb	pfla	0.8526	0
gcvb	pm_rs01675	0.85241	0
gcvb	pm_rs06690	0.85217	0
gcvb	pm_rs08395	0.84973	0
gcvb	pm_rs02095	0.84873	0
gcvb	pm_rs06670	0.84811	0
gcvb	pm_rs06675	0.84736	0
gcvb	pm_rs04630	0.84708	0
gcvb	pm_rs07480	0.84658	0
gcvb	pm_rs06660	0.8462	0
gcvb	pm_rs04550	0.84544	0
gcvb	pm_rs02065	0.84491	0
gcvb	pm_rs02055	0.84471	0
gcvb	pm_rs00050	0.84469	0
gcvb	pm_rs03980	0.84434	0
gcvb	pm_rs08565	0.84373	0
gcvb	pm_rs05155	0.84339	0
gcvb	pm_rs00940	0.84182	0
gcvb	pm_rs00975	0.83922	0
gcvb	pm_rs02060	0.83856	0
gcvb	pm_rs09955	0.83625	0
gcvb	pm_rs01410	0.83564	1
gcvb	pm_rs04765	0.83558	0
gcvb	pm_rs01940	0.83447	0
gcvb	pm_rs08620	0.83396	0
gcvb	pm_rs08370	0.83218	0
gcvb	pm_rs01250	0.83026	0
gcvb	pm_rs08725	0.83002	0
gcvb	pm_rs10325	0.82965	0
gcvb	pm_rs05055	0.82951	0
gcvb	pm_rs08670	0.82894	1
gcvb	pm_rs00750	0.82812	0
gcvb	pm_rs04755	0.82544	0
gcvb	pm_rs03025	0.82492	0
gcvb	pm_rs04930	0.82446	0
gcvb	pm_rs03360	0.82305	0
gcvb	pm_rs08045	0.82128	0
gcvb	pm_rs02205	0.82031	0
gcvb	pm_rs09980	0.81991	0
gcvb	pm_rs09800	0.81959	0
gcvb	pm_rs01050	0.81947	0
gcvb	pm_rs10360	0.81935	0
gcvb	pm_rs02985	0.81862	0
gcvb	pm_rs02845	0.81853	0
gcvb	pm_rs03905	0.81747	0
gcvb	pm_rs00370	0.81736	0
gcvb	pm_rs00220	0.81692	0
gcvb	pm_rs05380	0.81675	0
gcvb	pm_rs03060	0.81656	0
gcvb	pm_rs10380	0.81644	0
gcvb	pm_rs03330	0.81603	0
gcvb	pm_rs03845	0.81592	0
gcvb	pm_rs05805	0.81448	0
gcvb	pm_rs09640	0.81309	0
gcvb	pm_rs08130	0.81161	0
gcvb	pm_rs07870	0.8107	0
gcvb	pm_rs06995	0.80991	0
gcvb	pm_rs08465	0.80984	0
gcvb	pm_rs02930	0.80816	0
gcvb	pm_rs04450	0.8073	0
gcvb	pm_rs09770	0.8072	0
gcvb	pm_rs09990	0.80611	0
gcvb	pm_rs08835	0.80565	0
gcvb	pm_rs03465	0.80407	0
gcvb	pm_rs06975	0.80361	0
gcvb	pm_rs00025	0.80264	0
gcvb	pm_rs01435	0.80242	0
gcvb	pm_rs06540	0.80232	0
gcvb	pm_rs09245	0.80232	0
gcvb	pm_rs02275	0.80055	0
gcvb	pm_rs05925	0.80037	0
gcvb	pm_rs09295	0.79943	0
gcvb	pm_rs02710	0.79862	0
gcvb	pm_rs00925	0.79724	0
gcvb	pm_rs09325	0.79531	0
gcvb	pm_rs04065	0.79492	0
gcvb	pm_rs07110	0.79334	0
gcvb	pm_rs06085	0.79309	0
gcvb	pm_rs07380	0.79184	0
gcvb	pm_rs03640	0.78947	0
gcvb	pm_rs07390	0.78942	0
gcvb	pm_rs05460	0.78918	0
gcvb	pm_rs01365	0.78886	0
gcvb	pm_rs05040	0.78853	0
gcvb	pm_rs05850	0.78841	0
gcvb	pm_rs00985	0.78732	0
gcvb	pm_rs04865	0.78691	0
gcvb	pm_rs08930	0.78665	0
gcvb	pm_rs07170	0.78565	0
gcvb	dppf	0.78441	0
gcvb	modb	0.7844	0
gcvb	pm_rs03265	0.78353	0
gcvb	pm_rs03420	0.78297	0
gcvb	pm_rs05175	0.78223	1
gcvb	pm_rs08640	0.7797	0
gcvb	pm_rs05940	0.77911	0
gcvb	pm_rs04085	0.77794	0
gcvb	pm_rs04970	0.77781	0
gcvb	pm_rs01255	0.77758	0
gcvb	pm_rs00440	0.77756	0
gcvb	pm_rs08560	0.77708	0
gcvb	pm_rs06415	0.77686	0
gcvb	pm_rs04710	0.77627	0
gcvb	pm_rs07740	0.7762	0
gcvb	pm_rs05310	0.77532	0
gcvb	pm_rs04290	0.77523	0
gcvb	pm_rs09585	0.77517	0
gcvb	pm_rs05390	0.77504	0
gcvb	pm_rs02035	0.77502	0
gcvb	pm_rs02090	0.77484	0
gcvb	pm_rs05405	0.77212	0
gcvb	pm_rs08655	0.77104	0
gcvb	pm_rs05420	0.77015	0
gcvb	pm_rs04570	0.76974	0
gcvb	pm_rs01995	0.76816	0
gcvb	pm_rs04210	0.76746	0
gcvb	pm_rs05350	0.766	0
gcvb	pm_rs07450	0.76523	0
gcvb	pm_rs03280	0.76253	0
gcvb	pm_rs00780	0.76241	0
gcvb	pm_rs02915	0.76192	0
gcvb	pm_rs04175	0.76066	0
gcvb	pm_rs03625	0.76052	0
gcvb	pm_rs01195	0.75927	0
gcvb	pm_rs10225	0.75877	0
gcvb	pm_rs08935	0.75691	0
gcvb	pm_rs09625	0.75651	0
gcvb	pm_rs06755	0.75565	0
gcvb	pm_rs01460	0.75464	0
gcvb	pm_rs01320	0.75387	0
gcvb	pm_rs00990	0.75281	0
gcvb	pm_rs07260	0.75233	0
gcvb	pm_rs07945	0.75205	0
gcvb	pm_rs10345	0.75131	0
gcvb	pm_rs09805	0.74996	0
gcvb	pm_rs03455	0.74916	0
gcvb	pm_rs06820	0.74894	0
gcvb	pm_rs03240	0.74815	0
gcvb	pm_rs09790	0.74778	0
gcvb	pm_rs06640	0.7474	0
gcvb	pm_rs07070	0.74707	0
gcvb	pm_rs01290	0.74688	0
gcvb	pm_rs07090	0.74686	0
gcvb	pm_rs01825	0.74639	0
gcvb	pm_rs09710	0.74394	0
gcvb	pm_rs07800	0.74393	0
gcvb	pm_rs00400	0.74293	0
gcvb	pm_rs06025	0.74287	0
gcvb	pm_rs03385	0.74249	0
gcvb	pm_rs04105	0.74174	0
gcvb	pm_rs10280	0.73849	0
gcvb	pm_rs04520	0.73828	0
gcvb	pm_rs04770	0.73783	0
gcvb	pm_rs06325	0.73682	0
gcvb	pm_rs00305	0.73567	0
gcvb	pm_rs03185	0.7351	0
gcvb	pm_rs10400	0.73494	0
gcvb	pm_rs00490	0.73471	0
gcvb	pm_rs07680	0.73426	0
gcvb	pm_rs03900	0.73305	0
gcvb	pm_rs02020	0.73227	0
gcvb	pm_rs05065	0.73215	0
gcvb	pm_rs02460	0.73213	0
gcvb	pm_rs03670	0.73193	0
gcvb	pm_rs04925	0.73044	0
gcvb	pm_rs09940	0.7303	0
gcvb	pm_rs04095	0.73016	0
gcvb	pm_rs01215	0.72948	0
gcvb	pm_rs01270	0.72863	0
gcvb	pm_rs04305	0.72844	0
gcvb	pm_rs03645	0.72808	0
gcvb	pm_rs06265	0.72771	1
gcvb	pm_rs00695	0.72696	0
gcvb	pm_rs03725	0.72663	0
gcvb	pm_rs07750	0.72582	0
gcvb	pm_rs08245	0.72405	0
gcvb	pm_rs04155	0.72383	0
gcvb	pm_rs09845	0.72343	0
gcvb	pm_rs09450	0.7225	0
gcvb	pm_rs01715	0.72144	0
gcvb	pm_rs00425	0.71922	0
gcvb	pm_rs02440	0.7192	0
gcvb	pm_rs05450	0.71849	0
gcvb	pm_rs00865	0.71835	0
gcvb	pm_rs05365	0.71785	0
gcvb	pm_rs02100	0.71782	0
gcvb	pm_rs09345	0.71579	0
gcvb	pm_rs08890	0.71558	0
gcvb	pm_rs00890	0.7146	0
gcvb	pm_rs04410	0.71419	0
gcvb	pm_rs09735	0.71311	0
gcvb	pm_rs00005	0.71209	0
gcvb	pm_rs03045	0.71036	0
gcvb	pm_rs06530	0.71026	0
gcvb	pm_rs04185	0.70915	1
gcvb	pm_rs08010	0.70736	0
gcvb	pm_rs04940	0.70709	0
gcvb	pm_rs03565	0.70571	0
gcvb	pm_rs03020	0.70548	0
gcvb	pm_rs00810	0.7052	0
gcvb	pm_rs06275	0.70471	0
gcvb	pm_rs00875	0.70464	0
gcvb	pm_rs03445	0.70436	0
gcvb	pm_rs00905	0.70395	0
gcvb	pm_rs03010	0.70291	0
gcvb	pm_rs00030	0.70286	0
gcvb	pm_rs01910	0.70242	0
gcvb	pm_rs04625	0.70227	0
gcvb	pm_rs00545	0.70207	0
gcvb	pm_rs05705	0.69856	0
gcvb	pm_rs04745	0.69847	0
gcvb	pm_rs01985	0.69808	0
gcvb	pm_rs00035	0.69765	0
gcvb	pm_rs08335	0.69751	0
gcvb	pm_rs01845	0.69664	0
gcvb	pm_rs05595	0.6963	0
gcvb	pm_rs10090	0.69626	0
gcvb	pm_rs07405	0.6962	0
gcvb	pm_rs07085	0.69604	0
gcvb	pm_rs09085	0.69599	0
gcvb	pm_rs02045	0.69583	0
gcvb	pm_rs08265	0.69421	0
gcvb	pm_rs01375	0.6938	0
gcvb	pm_rs10255	0.69279	0
gcvb	pm_rs02110	0.69136	0
gcvb	pm_rs02965	0.69122	0
gcvb	pm_rs01120	0.69054	0
gcvb	pm_rs01170	0.69044	0
gcvb	pm_rs04285	0.68907	0
gcvb	pm_rs03365	0.68786	0
gcvb	pm_rs00615	0.68746	0
gcvb	pm_rs05030	0.68549	0
gcvb	pm_rs01010	0.68447	0
gcvb	pm_rs03650	0.68404	0
gcvb	pm_rs06045	0.6831	0
gcvb	pm_rs06455	0.68307	0
gcvb	pm_rs02390	0.68295	0
gcvb	pm_rs09835	0.68288	0
gcvb	pm_rs03485	0.68263	0
gcvb	pm_rs01965	0.68219	0
gcvb	pm_rs07400	0.68197	0
gcvb	pm_rs04330	0.68084	0
gcvb	pm_rs09565	0.68081	0
gcvb	pm_rs07830	0.68063	0
gcvb	pm_rs07940	0.6799	0
gcvb	ubif	0.67744	0
gcvb	pm_rs04170	0.67678	0
gcvb	pm_rs01865	0.67511	0
gcvb	pm_rs05400	0.67504	0
gcvb	pm_rs03150	0.67179	0
gcvb	pm_rs10175	0.67087	0
gcvb	pm_rs09925	0.67067	0
gcvb	pm_rs00055	0.67046	0
gcvb	pm_rs10315	0.66995	0
gcvb	pm_rs07105	0.66988	0
gcvb	pm_rs05785	0.6678	0
gcvb	pm_rs02955	0.66638	0
gcvb	pm_rs06245	0.66522	1
gcvb	pm_rs04585	0.66484	0
gcvb	pm_rs04115	0.66476	0
gcvb	pm_rs05045	0.66338	0
gcvb	pm_rs07210	0.66336	0
gcvb	pm_rs03710	0.66072	0
gcvb	pm_rs04120	0.65842	0
gcvb	pm_rs08675	0.65727	0
gcvb	pm_rs02365	0.65688	0
gcvb	pm_rs04620	0.65616	0
gcvb	pm_rs00840	0.65317	0
gcvb	pm_rs02700	0.65292	0
gcvb	pm_rs09570	0.65221	0
gcvb	pm_rs08645	0.65187	0
gcvb	pm_rs10160	0.65181	0
gcvb	pm_rs09840	0.64979	0
gcvb	pm_rs00390	0.6493	0
gcvb	oppb	0.64914	1
gcvb	pm_rs06335	0.64856	0
gcvb	pm_rs09690	0.64801	0
gcvb	pm_rs02995	0.64796	0
gcvb	pm_rs01770	0.64791	0
gcvb	pm_rs01880	0.64775	0
gcvb	rihb	0.6452	0
gcvb	pm_rs07220	0.64188	0
gcvb	pm_rs00655	0.64117	0
gcvb	pm_rs00420	0.64035	0
gcvb	pm_rs03680	0.63997	0
gcvb	pm_rs03635	0.63977	0
gcvb	pm_rs06505	0.63957	0
gcvb	pm_rs01955	0.63918	1
gcvb	pm_rs04910	0.63624	0
gcvb	pm_rs07010	0.63597	0
gcvb	pm_rs03370	0.63489	0
gcvb	pm_rs03835	0.63459	0
gcvb	pm_rs00155	0.63437	0
gcvb	pm_rs07885	0.63016	0
gcvb	pm_rs08780	0.62884	0
gcvb	pm_rs09815	0.62821	0
gcvb	pm_rs08150	0.62683	0
gcvb	pm_rs03335	0.62674	0
gcvb	pm_rs07115	0.6257	0
gcvb	pm_rs05590	0.62454	0
gcvb	pm_rs02470	0.62342	0
gcvb	pm_rs00130	0.6232	0
gcvb	pm_rs00230	0.62291	0
gcvb	pm_rs01450	0.62129	0
gcvb	pm_rs05285	0.62024	0
gcvb	pm_rs04885	0.61997	0
gcvb	pm_rs02670	0.61974	0
gcvb	pm_rs03665	0.61837	0
gcvb	pm_rs08815	0.61705	0
gcvb	pm_rs00735	0.61343	0
gcvb	pm_rs00610	0.61276	0
gcvb	pm_rs06665	0.61266	0
gcvb	pm_rs05000	0.61173	0
gcvb	pm_rs00045	0.61158	0
gcvb	pm_rs04295	0.61036	0
gcvb	pm_rs02855	0.61025	0
gcvb	pm_rs05355	0.6095	0
gcvb	pm_rs08330	0.60944	0
gcvb	pm_rs04715	0.6094	0
gcvb	pm_rs01360	0.60827	0
gcvb	pm_rs07285	0.60827	0
gcvb	pm_rs01975	0.60808	0
gcvb	pm_rs09985	0.60796	0
gcvb	pm_rs05050	0.60596	0
gcvb	pm_rs06255	0.60536	0
gcvb	pm_rs02735	0.60463	0
gcvb	pm_rs07845	0.60463	0
gcvb	pm_rs05565	0.60239	0
gcvb	pm_rs07705	0.60128	0
gcvb	pm_rs08660	0.60079	0
gcvb	pm_rs09175	0.60079	0
gcvb	pm_rs06545	0.60007	0
gcvb	pm_rs09900	0.59734	0
gcvb	pm_rs00150	0.59651	0
gcvb	pm_rs00635	0.59644	0
gcvb	pm_rs02160	0.596	0
gcvb	pm_rs00680	0.59494	0
gcvb	pm_rs03305	0.5941	0
gcvb	pm_rs04660	0.59394	0
gcvb	pm_rs00010	0.59384	0
gcvb	pm_rs02455	0.59369	0
gcvb	pm_rs07950	0.59241	0
gcvb	pm_rs09785	0.59237	0
gcvb	pm_rs01510	0.59188	0
gcvb	pm_rs04300	0.59146	0
gcvb	pm_rs08940	0.59047	0
gcvb	pm_rs08470	0.59044	0
gcvb	pm_rs06370	0.58893	0
gcvb	pm_rs06615	0.58869	0
gcvb	pm_rs00300	0.5883	0
gcvb	pm_rs10375	0.58705	0
gcvb	pm_rs04230	0.58659	0
gcvb	pm_rs05900	0.5851	0
gcvb	pm_rs05080	0.58488	0
gcvb	pm_rs05750	0.58469	0
gcvb	pm_rs03755	0.58363	0
gcvb	pm_rs09365	0.5829	0
gcvb	pm_rs10290	0.58286	0
gcvb	pm_rs06920	0.58269	0
gcvb	pm_rs06040	0.58237	0
gcvb	pm_rs02080	0.58112	0
gcvb	pm_rs06260	0.57976	1
gcvb	pm_rs05745	0.57968	0
gcvb	pm_rs01820	0.57942	0
gcvb	pm_rs06980	0.57883	0
gcvb	pm_rs05035	0.57875	0
gcvb	pm_rs08080	0.57866	0
gcvb	pm_rs04985	0.57824	0
gcvb	pm_rs00860	0.57788	0
gcvb	pm_rs00500	0.57718	0
gcvb	pm_rs05120	0.57707	0
gcvb	pm_rs01580	0.57691	0
gcvb	pm_rs00520	0.57661	0
gcvb	pm_rs07755	0.57645	0
gcvb	pm_rs05845	0.57642	0
gcvb	pm_rs03985	0.57618	0
gcvb	pm_rs03875	0.5755	0
gcvb	pm_rs09620	0.57383	0
gcvb	pm_rs01935	0.57174	0
gcvb	pm_rs08170	0.57103	0
gcvb	pm_rs04560	0.56829	0
gcvb	pm_rs03705	0.56739	0
gcvb	pm_rs07255	0.56632	0
gcvb	pm_rs08885	0.56498	0
gcvb	pm_rs07825	0.56475	0
gcvb	pssa	0.56271	0
gcvb	pm_rs10245	0.56197	0
gcvb	pm_rs09160	0.56081	0
gcvb	pm_rs00415	0.56033	0
gcvb	pm_rs08280	0.55973	0
gcvb	pm_rs01805	0.55899	0
gcvb	pm_rs04515	0.55807	0
gcvb	pm_rs06200	0.55501	0
gcvb	pm_rs01885	0.55449	0
gcvb	moaa	0.55395	0
gcvb	pm_rs05560	0.552	0
gcvb	pm_rs07670	0.55198	0
gcvb	pm_rs05665	0.55194	0
gcvb	pm_rs10150	0.55089	0
gcvb	pm_rs08105	0.54953	0
gcvb	pm_rs05570	0.5486	0
gcvb	pm_rs09030	0.54859	0
gcvb	pm_rs06770	0.54843	0
gcvb	pm_rs00920	0.54796	0
gcvb	pm_rs07935	0.54599	0
gcvb	pm_rs08030	0.545	0
gcvb	pm_rs09795	0.54436	0
gcvb	pm_rs02490	0.54434	0
gcvb	pm_rs04845	0.54253	0
gcvb	pm_rs09340	0.54232	0
gcvb	pm_rs05550	0.54193	0
gcvb	pm_rs04875	0.53966	0
gcvb	pm_rs08685	0.53921	0
gcvb	pm_rs06010	0.53905	0
gcvb	pm_rs08875	0.53839	0
gcvb	galm	0.53814	0
gcvb	pm_rs08995	0.53742	0
gcvb	pm_rs04470	0.53686	0
gcvb	pm_rs00270	0.53541	0
gcvb	pm_rs01000	0.53519	0
gcvb	pm_rs05575	0.53513	0
gcvb	pm_rs08850	0.53432	0
gcvb	pm_rs05970	0.53411	0
gcvb	pm_rs04935	0.53343	0
gcvb	pm_rs01055	0.53338	0
gcvb	pm_rs07930	0.53168	0
gcvb	pm_rs07895	0.53121	0
gcvb	pm_rs08775	0.53094	0
gcvb	acef	0.52855	0
gcvb	pm_rs04245	0.5284	0
gcvb	pm_rs06420	0.52792	0
gcvb	pm_rs06940	0.52789	0
gcvb	pm_rs09720	0.52707	0
gcvb	pm_rs03375	0.52594	0
gcvb	pm_rs01420	0.52557	0
gcvb	pm_rs00365	0.52548	0
gcvb	pm_rs09215	0.52527	0
gcvb	pm_rs03460	0.52412	0
gcvb	pm_rs01735	0.52396	0
gcvb	pm_rs10020	0.52363	0
gcvb	pm_rs09765	0.52131	0
gcvb	pm_rs05930	0.52128	0
gcvb	pm_rs01875	0.51901	0
gcvb	pm_rs09375	0.51706	0
gcvb	pm_rs08015	0.51692	0
gcvb	pm_rs08630	0.51546	0
gcvb	pm_rs04750	0.51211	0
gcvb	pm_rs01635	0.51186	0
gcvb	pm_rs04655	0.51147	0
gcvb	pm_rs07465	0.51026	0
gcvb	pm_rs00895	0.50888	0
gcvb	nusa	0.50774	0
gcvb	pm_rs04580	0.50694	0
gcvb	pm_rs01655	0.50693	0
gcvb	pyrg	0.50623	0
gcvb	pm_rs08275	0.50357	0
gcvb	pm_rs02990	0.50332	0
