sRNA	mRNA	Score	Class
omra	dtpc	0.67843	0
omra	trua	0.67839	0
dsra	ygfi	0.67831	0
spf	gsta	0.67826	0
omra	ycem	0.67818	0
omra	yhjj	0.6781	0
omra	umph	0.67803	0
omra	paaj	0.67798	0
omra	cdsa	0.67794	0
spf	glpd	0.67783	0
omra	fuco	0.67774	0
omra	dapa	0.67772	0
omra	cydc	0.67771	0
omra	rcsc	0.67763	0
spf	frdb	0.6776	0
spf	hemn	0.67758	0
mica	ecnb	0.67748	0
omra	folc	0.67747	0
omra	caic	0.6773	0
omra	moba	0.67719	0
omra	fadi	0.67706	0
omra	hcxa	0.67697	0
spf	glmm	0.67687	0
spf	gltx	0.67687	0
omra	ydhq	0.67685	0
spf	lepa	0.67675	0
omra	dbpa	0.67652	0
chix	rpos	0.67643	0
omra	lole	0.67641	0
spf	yhcc	0.67639	0
omra	lsrr	0.6762	0
omrb	rpos	0.67616	0
omra	yphh	0.67609	0
omra	yehp	0.67602	0
omra	malz	0.67601	0
omra	uxaa	0.67599	0
spf	frsa	0.67599	0
omra	phet	0.67596	0
omrb	acrz	0.67584	0
omra	hyfr	0.67583	0
spf	potg	0.67574	0
omra	tyrb	0.6757	0
omra	yggr	0.6757	0
spf	allb	0.67557	0
spf	gor	0.67557	0
spf	yehp	0.67536	0
omra	mela	0.67532	0
dsra	riml	0.67528	0
spf	trka	0.67521	0
omra	yhht	0.6751	0
omra	yhdy	0.67505	0
omrb	fimf	0.67503	0
omra	fadj	0.675	0
spf	purb	0.67494	0
omra	laci	0.67492	0
omra	alda	0.67485	0
oxys	ycce	0.67485	0
omra	yjjj	0.67477	0
omra	glpd	0.67468	0
spf	pabb	0.67454	0
omra	cvra	0.67452	0
omra	kdud	0.67434	0
dsra	frc	0.67429	0
spf	guad	0.67429	0
omra	hcad	0.67415	0
omra	malp	0.67405	0
omra	yfau	0.67393	0
omra	yiav	0.67386	0
omrb	osmb	0.67386	0
omra	ubif	0.67366	0
omra	arnt	0.67365	0
omra	ygbn	0.67363	0
omra	yfal	0.67353	0
omra	paac	0.6735	0
omra	ydiu	0.67348	0
omra	dgcc	0.67345	0
omra	rbsk	0.67332	0
spf	pspg	0.67329	0
dsra	yciy	0.67326	0
omra	ddpd	0.67326	0
dsra	pgaa	0.67324	0
spf	glns	0.67323	0
spf	ycgb	0.67309	0
ryhb	cysu	0.67308	0
omra	rhtb	0.67287	0
omra	folm	0.67286	0
omra	ycbz	0.67285	0
spf	umph	0.67282	0
spf	yejf	0.67278	0
omra	ydij	0.67276	0
omra	hscc	0.67263	0
omra	dape	0.67261	0
spf	kdsa	0.67258	0
omra	yhcc	0.67253	0
spf	deor	0.67248	0
omra	norw	0.67243	0
omra	cusc	0.67241	0
spf	hcae	0.67238	0
omrb	srlb	0.67235	0
spf	spec	0.67231	0
dsra	pdec	0.6723	0
omra	tar	0.67227	0
dsra	insk	0.67226	0
omra	glpg	0.67223	0
omra	sufb	0.67213	0
omra	riha	0.67211	0
omra	mscm	0.67209	0
omra	rssa	0.67206	0
omra	ydea	0.67198	0
omra	thik	0.67189	0
spf	lapb	0.67187	0
omra	clca	0.67186	0
omra	dpib	0.67184	0
omra	yade	0.67181	0
omra	ygjr	0.67174	0
omrb	glmm	0.67165	0
omra	yqeb	0.67159	0
spf	pitb	0.67152	0
omra	ycaq	0.67149	0
spf	ptrb	0.67147	0
spf	wcaj	0.67145	0
spf	flha	0.67124	0
spf	hyac	0.67114	0
spf	asnb	0.67112	0
spf	yfcf	0.67112	0
omra	teha	0.67105	0
spf	rard	0.67099	0
omra	yide	0.67097	0
spf	recb	0.67094	0
spf	ycjn	0.67093	0
omrb	folp	0.67091	0
dsra	ygcw	0.67081	0
spf	mhpa	0.67078	0
rybb	ompf	0.67068	0
omra	gsha	0.67065	0
dsra	yjjq	0.67047	0
omra	ubii	0.67043	0
spf	atod	0.6703	0
spf	bcsb	0.6703	0
dsra	pdeg	0.67027	0
dsra	waab	0.67022	0
spf	aas	0.6702	0
spf	mela	0.67017	0
omra	anmk	0.67014	0
spf	rlha	0.67012	0
mica	gloa	0.67007	0
omra	amya	0.66996	0
omra	ydhp	0.66991	0
omra	usha	0.66988	0
spf	pita	0.66987	0
spf	asd	0.66985	0
omra	puud	0.66983	0
omra	csir	0.66979	0
omra	yfav	0.66966	0
spf	prfa	0.66953	0
omra	pspf	0.66951	0
spf	idnt	0.66951	0
omra	selu	0.66944	0
omrb	ycad	0.66943	0
arcz	flhd	0.66938	0
spf	yhjd	0.66936	0
omra	cyup	0.66927	0
omra	astc	0.66926	0
spf	trkh	0.66922	0
spf	tora	0.66912	0
omra	yohf	0.6691	0
omra	dcta	0.66907	0
omra	hypf	0.66907	0
omra	gard	0.66906	0
spf	opgd	0.66906	0
omra	ydfu	0.66905	0
omrb	yhdy	0.669	0
spf	rep	0.66896	0
omra	nhoa	0.66892	0
spf	fabf	0.66887	0
dsra	ycfz	0.66885	0
omra	yjgr	0.66884	0
omra	gudd	0.66882	0
omra	ycbf	0.66882	0
rybb	ycfl	0.66882	0
spf	phet	0.66861	0
spf	ubid	0.66858	0
omra	adhp	0.66853	0
spf	gdha	0.66844	1
spf	ynfk	0.66835	0
omra	glxr	0.66833	0
omra	ygft	0.66823	0
spf	ygcs	0.66823	0
spf	poth	0.66822	0
omra	gatd	0.66818	0
spf	dld	0.66818	0
omra	arac	0.66816	0
mica	ldtc	0.66801	0
rybb	ydjh	0.66799	0
omra	murd	0.66798	0
omra	yidr	0.66793	0
spf	yrfg	0.66779	0
spf	narz	0.66771	0
rybb	rsmg	0.6677	0
spf	rlud	0.66768	0
spf	yjga	0.66767	0
spf	yccs	0.66759	0
omra	ribd	0.66758	0
spf	pfld	0.66754	0
omra	ytjc	0.66748	0
rybb	hint	0.66748	0
dsra	pqql	0.66739	0
omra	yedi	0.66738	0
omra	ruvb	0.6673	0
omra	argd	0.66729	0
spf	ssea	0.66728	0
omra	allr	0.66726	0
rybb	icd	0.66723	0
spf	pepq	0.6672	0
omra	fabg	0.66715	0
spf	dham	0.66712	0
omra	hokd	0.66704	0
omra	metb	0.66703	0
omra	ybjt	0.6669	0
spf	tgt	0.66684	0
omra	ycjs	0.66677	0
omra	ybhk	0.66675	0
dsra	cas3	0.66672	0
gcvb	msrp	0.66659	0
spf	ygic	0.66657	0
omra	efeb	0.66647	0
micc	ompa	0.66643	0
omra	abga	0.66639	0
omra	kbl	0.66638	0
omra	bglf	0.6663	0
omra	pdxb	0.66629	0
dsra	idnr	0.66626	0
omra	yrar	0.66626	0
spf	thya	0.66619	0
omra	pdea	0.66616	0
spf	meth	0.66603	0
omra	higb	0.66602	0
spf	rlmd	0.66602	0
dsra	yihr	0.666	0
omra	yhhw	0.666	0
spf	ydbk	0.66599	0
dsra	yhhi	0.66594	0
rybb	yhcn	0.66592	0
spf	pgi	0.66592	0
spf	yhjc	0.66591	0
omra	psut	0.66579	0
omra	glgx	0.66575	0
spf	dmsa	0.66573	0
mica	ompf	0.66571	0
rydc	rpos	0.66566	0
dsra	yrai	0.66565	0
omrb	yqja	0.66562	0
omra	xdhd	0.6656	0
dsra	waag	0.66548	0
omra	ssna	0.66545	0
omra	lsrc	0.66541	0
omra	quec	0.6654	0
rybb	yden	0.66531	0
spf	ubib	0.66528	0
omra	trec	0.66526	0
omra	cusr	0.66518	0
omra	poxb	0.66516	0
omrb	mutm	0.66516	0
spf	gltp	0.66514	0
omra	ybio	0.6651	0
omra	glcb	0.66505	0
omra	hemd	0.66503	0
spf	ybib	0.66494	0
omra	mdfa	0.66492	0
omra	fsaa	0.66481	0
spf	hrpa	0.66478	0
omra	dcyd	0.66477	0
omra	yeii	0.66476	0
omra	acna	0.66474	0
spf	yebt	0.66469	0
spf	pyrb	0.66468	0
omra	yhfw	0.66464	0
dsra	xylg	0.66457	0
omra	glsa	0.66454	0
omra	yphe	0.66452	0
spf	maeb	0.66448	0
omra	pcm	0.66443	0
spf	seca	0.66438	0
spf	nadr	0.66437	0
omrb	mdtk	0.66434	0
omra	fepc	0.66433	0
omra	spec	0.66428	0
spf	yjfc	0.66427	0
spf	feob	0.66419	0
omra	yphb	0.66411	0
omra	nupx	0.6641	0
spf	trpb	0.66409	0
omra	ycjx	0.66407	0
omrb	flda	0.66402	0
omrb	yaeh	0.66398	0
omra	ycjt	0.66395	0
omra	igaa	0.66393	0
omra	glpk	0.66392	0
omra	purt	0.66391	0
dsra	hsra	0.66365	0
spf	ybit	0.66359	0
omra	narq	0.66352	0
rybb	lysu	0.66344	0
spf	lldd	0.66344	0
omra	yohk	0.66336	0
spf	ding	0.66328	0
omra	citg	0.66323	0
spf	tref	0.66322	0
spf	trpe	0.66322	0
omra	yghu	0.66317	0
spf	agai	0.66317	0
rybb	prc	0.66315	0
omra	dmlr	0.66301	0
omra	ccp	0.663	0
chix	dpib	0.66299	1
oxys	tola	0.66289	0
spf	ydio	0.66289	0
omra	recj	0.66283	0
omra	mscs	0.66279	0
omrb	mnth	0.66271	0
omra	yfeo	0.6627	0
spf	polb	0.66266	0
omra	rcsd	0.66262	0
dsra	pdei	0.6626	0
dsra	kch	0.66259	0
omra	tort	0.66259	0
omra	torz	0.66249	0
rpra	hns	0.66249	0
dsra	ompc	0.66246	0
dsra	bara	0.66243	0
spf	phor	0.66243	0
omra	prmc	0.66241	0
omra	treb	0.66241	0
spf	nary	0.66241	0
omra	nagc	0.6624	0
rybb	lamb	0.66239	0
omra	yejb	0.66238	0
rybb	yjbt	0.66232	0
omra	yohd	0.66228	0
omra	ybat	0.66227	0
omra	waaf	0.66225	0
spf	prma	0.66225	0
omra	fimh	0.66223	0
spf	paba	0.66217	0
omra	msrc	0.66211	0
omra	cdar	0.66207	0
omra	yfdc	0.66206	0
omra	truc	0.66204	0
spf	wecb	0.66199	0
omra	ymfn	0.66192	0
spf	hypd	0.66185	0
spf	rlml	0.66184	0
spf	prfc	0.66172	0
spf	gss	0.6617	0
dsra	oxc	0.66161	0
omra	nagz	0.66161	0
spf	guaa	0.66142	0
micc	sodb	0.66133	0
omrb	alx	0.6612	0
omra	yjir	0.66119	0
spf	muts	0.66117	0
spf	aaeb	0.66115	0
spf	uvrb	0.6611	0
spf	mpl	0.66108	0
omra	poth	0.66105	0
spf	yaip	0.66105	0
dsra	ompf	0.66102	0
omra	eama	0.66096	0
dsra	dsdc	0.6609	0
dsra	fimb	0.66088	0
omra	nuob	0.66081	0
omra	cmob	0.66077	0
dsra	hdha	0.66074	0
omra	moeb	0.66068	0
dsra	djlb	0.66064	0
omrb	yhft	0.66058	0
dsra	yfde	0.66055	0
omra	tgt	0.66055	0
spf	tyna	0.66053	0
omra	galk	0.6605	0
ryhb	zapb	0.66046	0
omra	glvb	0.66045	0
omra	yrbg	0.66043	0
omra	mrp	0.66042	0
spf	nadb	0.66042	0
rybb	rfad	0.66041	0
dsra	ydje	0.66036	0
omra	yebz	0.6603	0
omra	pflc	0.66026	0
dsra	ydcc	0.66025	0
omra	xapr	0.66025	0
omra	dacc	0.66024	0
spf	yjju	0.66023	0
omra	araj	0.66016	0
omra	glmu	0.66014	0
omra	purm	0.66011	0
spf	gapa	0.6601	0
omra	yphg	0.66001	0
rybb	fima	0.65995	0
omra	mura	0.65992	0
spf	cusa	0.65991	0
omra	bioc	0.65985	0
omra	csgb	0.6598	0
spf	fhla	0.65978	0
omra	cyua	0.65977	0
spf	chea	0.65975	0
omra	kdsd	0.65971	0
omra	rbsc	0.65969	0
dsra	ydda	0.65965	0
omra	fhla	0.65964	0
omra	yebs	0.65963	0
omra	zupt	0.65962	0
dsra	evgs	0.6596	0
omra	dacd	0.65958	0
rybb	lrha	0.65957	0
omra	yqfa	0.65948	0
omra	yfaq	0.65944	0
omra	lsrk	0.65943	0
rybb	fumc	0.65939	0
mica	yfek	0.65937	0
rybb	frc	0.65935	0
dsra	lrha	0.65929	0
omra	ybet	0.65925	0
omrb	yfbs	0.65925	0
dsra	gadw	0.65923	0
spf	yeaw	0.65914	0
omra	tamb	0.65911	0
omra	ybdl	0.65908	0
spf	hyab	0.659	0
spf	glne	0.65899	0
omra	yjbh	0.65881	0
spf	rhas	0.65881	0
spf	yegi	0.65879	0
spf	ygho	0.65879	0
omra	ddpb	0.65875	0
omra	dtpd	0.65875	0
spf	yeey	0.65871	0
spf	ygid	0.65869	0
omra	allc	0.65867	0
omra	yeea	0.65863	0
omra	feob	0.65852	0
omra	ldca	0.65851	0
omra	fadh	0.65846	0
spf	adia	0.65844	0
dsra	ompt	0.65843	0
dsra	rcla	0.65838	0
ryhb	meti	0.65836	0
omra	cmoa	0.65835	0
spf	fold	0.65835	0
spf	mgta	0.65835	0
omra	php	0.65824	0
omra	ygce	0.65823	0
omra	ygfx	0.65821	0
omra	yhft	0.65818	0
spf	yhhx	0.65816	0
spf	gshb	0.65815	0
dsra	ycan	0.65813	0
omra	argo	0.65811	0
omra	nimt	0.65809	0
omra	glrr	0.65804	0
omra	ribf	0.65804	0
spf	araa	0.65804	0
dsra	rclc	0.65803	0
dsra	ydiv	0.65802	0
omra	yidk	0.65801	0
omra	pola	0.65797	0
rybb	wcae	0.65793	0
spf	paaz	0.65793	0
omra	mnth	0.65789	0
omra	metn	0.65784	0
omra	fuck	0.65779	0
omra	gntu	0.65775	0
spf	arna	0.65775	0
dsra	emrk	0.6577	0
spf	ilvc	0.6577	0
omra	yeie	0.65767	0
omra	pepp	0.65764	0
omra	tors	0.65755	0
spf	yajr	0.65754	0
spf	naga	0.65748	0
dsra	ybef	0.65739	0
micf	ompc	0.65739	0
spf	rpoa	0.65738	0
omrb	yeal	0.65729	0
omra	arga	0.65724	0
spf	nhaa	0.65723	0
omra	yihv	0.65721	0
spf	secd	0.65721	0
omrb	glvc	0.6572	0
omra	lsrf	0.65716	0
spf	gnd	0.65711	0
spf	yhft	0.65705	0
dsra	ydji	0.65699	0
spf	sdaa	0.65697	0
spf	gcd	0.65694	0
spf	gpmm	0.65685	0
omra	fadk	0.65678	0
dsra	ybhd	0.65674	0
omra	pqib	0.65667	0
omra	pabc	0.65665	0
omra	glnd	0.6566	0
rybb	thii	0.65656	0
rydc	cfa	0.65656	0
rybb	glns	0.65654	0
omra	arsb	0.6565	0
spf	hsdm	0.6565	0
omra	dgt	0.65647	0
omra	rhar	0.65636	0
fnrs	nark	0.65635	0
omra	iaaa	0.65633	0
spf	nika	0.65633	0
spf	xdha	0.65633	0
rybb	rrab	0.6563	0
mica	luxs	0.65628	0
omra	glcc	0.65626	0
spf	rsta	0.65624	0
omra	yfjd	0.65623	0
omra	yeez	0.65618	0
omra	dgka	0.65612	0
omra	fdra	0.65608	0
omra	yoaa	0.65607	0
spf	opgb	0.65606	0
omra	sad	0.65598	0
omrb	bira	0.65597	0
spf	cysa	0.65596	0
spf	thim	0.65594	0
omra	tatd	0.65582	0
omra	yibh	0.65582	0
omra	ybib	0.65576	0
omrb	mdth	0.65576	0
spf	ynfe	0.65574	0
omra	mltf	0.65573	0
spf	thii	0.65569	0
rybb	xylg	0.65568	0
omra	rlua	0.65566	0
spf	dacb	0.65553	0
omra	yaaj	0.6555	0
spf	puue	0.6555	0
dsra	phea	0.65543	0
omra	kdgt	0.65542	0
dsra	mgla	0.65541	0
spf	yjhh	0.65538	0
omra	zape	0.65533	0
dsra	yfbn	0.65526	0
spf	mena	0.65524	0
omra	mdtc	0.65518	0
fnrs	rpos	0.65515	0
rybb	yced	0.6551	0
spf	tmk	0.65506	0
omra	yjil	0.65505	0
omra	yhbt	0.65501	0
spf	lacz	0.65497	0
spf	rsme	0.65496	0
dsra	mcrb	0.65488	0
omra	alsk	0.65487	0
spf	tamb	0.65487	0
omra	galr	0.65471	0
spf	glgx	0.65471	0
dsra	ycak	0.65466	0
spf	ptsi	0.65464	0
omra	yncd	0.65459	0
spf	acna	0.65456	0
dsra	sfmc	0.65448	0
omra	yahi	0.65447	0
omra	lptg	0.65446	0
spf	lpxc	0.65439	0
spf	ybgi	0.65438	0
spf	acrd	0.65437	0
spf	acca	0.65435	0
rybb	yihg	0.65433	0
spf	yiaj	0.65429	0
omrb	appb	0.65422	0
dsra	uspc	0.65421	0
spf	nagk	0.65421	0
spf	mfd	0.65417	0
omra	ogt	0.6541	0
dsra	galk	0.65399	0
rybb	def	0.65398	0
spf	tnaa	0.65398	0
omra	pgsa	0.65397	0
spf	hemf	0.65397	0
rybb	clpb	0.65396	0
omra	rimk	0.65392	0
spf	pldb	0.65384	0
omra	atoa	0.65374	0
dsra	dgcn	0.65373	0
omrb	cusr	0.65368	0
dsra	ynaa	0.65366	0
omra	phoq	0.65366	0
omra	ding	0.65363	0
omra	glvc	0.6536	0
omra	sppa	0.65357	0
spf	liga	0.6535	0
omra	gpr	0.65349	0
omra	ydir	0.65349	0
oxys	ydcc	0.65349	0
omra	ybbp	0.65342	0
omra	aste	0.65341	0
spf	mnme	0.65338	0
omrb	hyff	0.65334	0
spf	rimo	0.65334	0
omra	yeax	0.65333	0
dsra	yqik	0.65332	0
omra	taub	0.6533	0
omra	yehw	0.65329	0
omra	yeae	0.65326	0
omra	ybdr	0.65322	0
omra	mfd	0.65321	0
spf	dppa	0.65316	0
dsra	yjic	0.6531	0
omra	zrar	0.65307	0
spf	potd	0.65304	0
spf	fepa	0.653	0
omrb	phep	0.65298	0
spf	uraa	0.65297	0
omra	yciv	0.65294	0
omrb	wzxc	0.65294	0
omra	gfce	0.65289	0
omra	phea	0.65286	0
omra	wcak	0.65286	0
spf	cora	0.65286	0
dsra	ynai	0.65285	0
gcvb	yaip	0.65285	0
dsra	htre	0.65284	0
dsra	yhca	0.65284	0
omra	yidz	0.65283	0
spf	arga	0.65279	0
dsra	yehf	0.65277	0
omra	yeee	0.65277	0
spf	shia	0.65276	0
dsra	tdcb	0.65274	0
spf	eptc	0.65274	0
spf	yicj	0.65274	0
omra	degs	0.6527	0
spf	etk	0.65269	0
rybb	ydhv	0.65266	0
spf	php	0.65266	0
spf	sbcd	0.65266	0
dsra	ygeq	0.65259	0
spf	rffg	0.65257	0
omra	ynfk	0.65255	0
spf	ymfn	0.65255	0
rybb	fusa	0.6525	0
omra	glsb	0.65246	0
spf	yhfk	0.65244	0
spf	zape	0.65239	0
spf	thra	0.65235	0
rybb	pdel	0.6523	0
omra	mete	0.65225	0
spf	gcvp	0.65223	0
spf	ssna	0.65223	0
spf	ycem	0.65222	0
omra	yqja	0.65221	0
spf	asta	0.65214	0
spf	tdce	0.65212	0
dsra	atos	0.65204	0
omra	yeir	0.65199	0
omra	fic	0.65196	0
spf	bglf	0.65193	0
spf	garr	0.65193	0
omra	ppnn	0.65188	0
omra	mlra	0.65184	0
spf	rbsb	0.65182	0
dsra	dctr	0.65181	0
omra	ftsz	0.65181	0
omra	nfsa	0.65169	0
spf	mngb	0.65165	0
omra	yfch	0.65164	0
dsra	yahe	0.65163	0
dsra	yrah	0.65159	0
spf	frya	0.65159	0
omrb	amya	0.65158	0
omra	psuk	0.65156	0
omra	yfic	0.65155	0
omra	ydhk	0.65149	0
dsra	yeiq	0.65148	0
omra	frua	0.65146	0
omrb	gltp	0.65145	0
dsra	dgcj	0.65143	0
dsra	yiat	0.65143	0
omra	cdh	0.65143	0
oxys	yfde	0.65143	0
omra	pare	0.65141	0
spf	bcsz	0.65138	0
omra	artq	0.65135	0
spf	yfaq	0.65135	0
spf	yoaa	0.65135	0
omrb	ykgj	0.65134	0
spf	yegt	0.65134	0
dsra	rfbb	0.65132	0
omrb	ycjg	0.6513	0
omra	gcvt	0.65125	0
omra	lptf	0.65124	0
spf	mdtg	0.65124	0
omra	ubie	0.65123	0
spf	yidc	0.65123	0
spf	ycfh	0.65111	0
omrb	frwc	0.6511	0
dsra	ygev	0.65108	0
omra	yqga	0.65103	0
dsra	pdeb	0.651	0
omra	ghxq	0.651	0
omra	cred	0.65099	0
omrb	rsxa	0.65096	0
rybb	yidl	0.6509	0
omrb	mlae	0.65088	0
spf	cysj	0.65088	0
spf	uida	0.65081	0
omra	fdhf	0.65075	0
spf	ftsk	0.65069	0
spf	prlc	0.65069	0
spf	ansp	0.65067	0
omra	phr	0.65065	0
omra	yicn	0.65065	0
dsra	waaq	0.65064	0
omra	yjff	0.65064	0
spf	narg	0.65064	0
omra	amph	0.65058	0
omra	hrpa	0.65055	0
rybb	asr	0.65054	0
spf	hemb	0.65044	0
spf	gcvt	0.65042	0
omra	yqce	0.65041	0
spf	fucp	0.6504	0
oxys	ycak	0.65038	0
